1934-638 , radec bpcal delaycal, 19:39:25.026 , -63:42:45.63
1613-586, radec gaincal, 16:17:17.88951,-58:48:07.8604
3C286, radec bpcal polcal, 13:31:08.29, 30:30:33.0
G330.89-0.36, radec target, 16:10:21.4207, -52:05:20.9595
G331.59-0.36, radec target, 16:13:40.0142, -51:36:39.2709
G332.31-0.36, radec target, 16:16:59.9523, -51:06:47.1546
G333.02-0.36, radec target, 16:20:12.9303, -50:36:59.6473
G333.73-0.36, radec target, 16:23:21.8695, -50:06:52.7751
G330.53+0.35, radec target, 16:05:31.6922, -51:48:22.4784
G331.24+0.35, radec target, 16:08:54.9163, -51:19:47.0434
G331.95+0.35, radec target, 16:12:13.9202, -50:50:49.9429
G332.65+0.35, radec target, 16:15:26.0947, -50:21:56.887
G333.37+0.35, radec target, 16:18:39.6976, -49:51:53.9517
