0008-421 | J0010-4153, radec gaincal,00:10:52.52,-41:53:10.8
0201-440 | J0203-4349, radec gaincal, 02:03:40.7543, -43:49:50.783
0208-512 | J0210-5101, radec gaincal, 02:10:46.200436,-51:01:01.8915450
0237-233 | J0240-2309, radec gaincal, 02:40:08.174568,-23:09:15.7305450
0252-712 | J0252-7104, radec gaincal, 02:52:46.155968,-71:04:35.2741510
0340-371 | J034205-370321, radec gaincal,03:42:05.4,-37:03:20.9
0407-658 | J0408-6545, radec bpcal, 04:08:20.380186,-65:45:09.0784890
0409-752 | J0408-7507, radec gaincal,  04:08:48.5,-75:07:19
0420-625 | J0420-6223, radec gaincal, 04:20:56.13,-62:23:39.70
0438-436 | J0440-4333, radec gaincal, 04:40:17.179991,-43:33:08.6031670
0509-573 | J0510-5719, radec gaincal, 05:10:18.37,-57:19:41.8
0537-441 | J0538-4405, radec gaincal, 05:38:50.361546,-44:05:08.9381300
0614-349 | J0616-3456, radec gaincal, 06:16:35.981369,-34:56:16.5633960
0906-682 | J0906-6829, radec gaincal,09:06:52.46,-68:29:39.8
0943-761 | J0943-7620 , radec gaincal, 09:43:23.55,-76:20:11.4
1015-314 | J1018-3144, radec gaincal,10:18:09.2762,-31:44:14.107
1151-348 | J1154-3505, radec gaincal,11:54:21.7949, -35:05:28.992
1215-457 | J1218-4600, radec gaincal, 12:18:06.250790,-46:00:28.999926
1232-416 | J1235-4153, radec gaincal, 12:35:41.9959,-41:53:13.105
1234-504 | J1237-5046, radec gaincal, 12:37:15.239025,-50:46:23.1723120
1308-220 | J1311-2216 | 3C283, radec gaincal, 13:11:39.3347, -22:16:41.748
1315-460 | J1318-4620, radec gaincal,13:18:30.064,-46:20:34.90
1359-358 | J1402-3603, radec gaincal,14:02:40.07,-36:03:51.2
1421-490 | J1424-4913,radec gaincal,14:24:32.23734,-49:13:49.74
1422-297 | J1425-2959, radec gaincal, 14:25:29.116200,-29:59:54.331
1424-418 | J1427-4206, radec gaincal, 14:27:56.297535,-42:06:19.437366
1458-391 | J1501-3918, radec gaincal,  15:01:35, -39:18:39
1549-790 | J1556-7914, radec gaincal,15:56:58.869736,-79:14:04.2814380
1607-841 | J1619-8418, radec gaincal,16:19:33.97,-84:18:19.10
1610-771 | J1617-7717, radec gaincal, 16:17:49.276264,-77:17:18.4677240
1718-649 | J1723-6500, radec gaincal, 17:23:41.029758,-65:00:36.6148870
1740-517 | J1744-5144, radec gaincal, 17:44:25.450600,-51:44:43.7923510
1814-519 | J1818-5158, radec gaincal, 18:19:06.93,-51:58:05.22
1814-637 | J1819-6345, radec gaincal, 18:19:35.002220,-63:45:48.190762
1827-360 | J1830-3602, radec gaincal,18:30:58.8829,-36:02:30.132
1829-718 | J1835-7149, radec gaincal,18:35:37.204288,-71:49:58.2199970
1854-663 | J1859-6615, radec gaincal, 18:59:57.80,-66:15:02.8
1921-293 | OV-236 | J1924-2914, radec  gaincal,19:24:51.055946,-29:14:30.1206860
1933-587 | J1937-5838, radec gaincal,19:37:32.37,-58:38:27.80
1934-638 | J1939-6342, radec bpcal,19:39:25.026194,-63:42:45.6254730
1955-358 | J1959-3534, radec target, 19:59:03.67,-35:34:32.5
2049-369 | J2052-3640, radec gaincal, 20:52:17.63,-36:40:31.3
2052-474 | J2056-4714, radec gaincal, 20:56:16.359840,-47:14:47.6278690
2201-555 | J2205-5517, radec gaincal, 22:05:04.81,-55:17:42.8
2226-386 | J2229-3823, radec gaincal, 22:29:46.75,-38:23:59.0
2259-375 | J2302-3718, radec gaincal,23:02:23.888868,-37:18:06.8388290
2311-452 | J2314-4455, radec gaincal,23:14:09.382840,-44:55:49.2363090
2319-550 | J2205-5517, radec gaincal, 23:22:06.89,-54:45:30.0
2323-407 | J2326-4027, radec gaincal, 23:26:34.1409,-40:27:15.159
2326-477 | J2329-4730, radec gaincal, 23:29:17.704372,-47:30:19.1147020
2339-353 | J2341-3506, radec gaincal, 23:41:45.891,-35:06:22.130
