J001053-415311,radec gaincal,00:10:52.52,-41:53:10.8
J002225+001456,radec gaincal,00:22:25.42,+00:14:56.2
J002442-420203,radec gaincal,00:24:42.989921,-42:02:03.950200
J002549-260212,radec gaincal,00:25:49.17,-26:02:12.8
J005905+000651,radec gaincal,00:59:05.53,+00:06:51.5
J010838+013458,radec gaincal,01:08:38.75,+01:34:58.9
J013741+330935 | 3C48,radec bpcal,01:37:41.29,+33:09:35.13
J015537-404842,radec gaincal,01:55:37.059378,-40:48:42.35645
J020340-434950 | 0201-440,radec gaincal,02:03:40.754300,-43:49:50.783
J021046-510102,radec gaincal,02:10:46.08,-51:01:02.2
J023839+163659,radec gaincal,02:38:38.930108,+16:36:59.27471
J024008-230916,radec gaincal,02:40:08.14,-23:09:16.0
J025246-710436,radec bpcal,02:52:46.31,-71:04:36.2
J030350-621125,radec gaincal,03:03:50.81,-62:11:25.4
J031857+162833 | CTA21,radec gaincal,03:18:57.77,16:28:33.1
J032320+053411,radec gaincal,03:23:20.31,+05:34:11.9
J032958+275615,radec gaincal,03:29:57.669413,+27:56:15.499140
J040306+260002,radec gaincal,04:03:05.586048,+26:00:01.502740
J040533-130814,radec gaincal,04:05:33.94,-13:08:14.4
J040820-654508 | 0408-658,radec bpcal,04:08:20.38,-65:45:09.6
J040906-175709,radec gaincal,04:09:06.68,-17:57:09.4
J042056-622337,radec gaincal,04:20:56.19,-62:23:37.6
J042315-012032,radec gaincal,04:23:15.8,-01:20:32.4
J043104+203734,radec gaincal,04:31:03.7620,+20:37:34.250
J044017-433309,radec gaincal,04:40:17.07,-43:33:09.0
J044737-220337,radec gaincal,04:47:37.2822,-22:03:36.8051
J045314-280736,radec gaincal,04:53:14.67,-28:07:36.6
J050321+020305,radec gaincal,05:03:21.197177,+02:03:04.676380
J052109+163822 | 3C138,radec bpcal,05:21:09.93,+16:38:22.2
J053444+192721,radec gaincal,05:34:44.51,+19:27:21.7
J053850-440510,radec gaincal,05:38:50.18,-44:05:10.3
