1934-638_0, radec bpcal, 19:39:25.026, -63:42:45.63
1934-638_1, radec bpcal, 19:39:25.026, -63:42:45.63
3C138_0, radec target polcal, 05:21:09.886021, 16:38:22.051220
3C138_1, radec target polcal, 05:21:09.886021, 16:38:22.051220
3C286_0, radec target polcal, 13:31:08.29, 30:30:33.0
3C286_1, radec target polcal, 13:31:08.29, 30:30:33.0
0637-752_0, radec gaincal, 06:35:46.51, -75:16:16.81
0637-752_1, radec gaincal, 06:35:46.51, -75:16:16.81
DEEP_2_0, radec target, 04:13:26.40, -80:00:00.00
DEEP_2_1, radec target, 04:13:26.40, -80:00:00.00
