Receptor,Offset ns
m063,31410
m062,16980
m024,39880
m025,39860
m031,44750
m034,45360
m015,43460
m014,42660
m001,39570
m003,39570
m006,39860
m010,32290
m008,32630
m007,39660
m021,40000
m022,39470
m036,42880
m017,43190
m018,43680
m020,41200
m011,41290
m012,41200
m000,39570
m002,39590
m005,39470
m042,43920
m041,43950
m040,32700
m038,32070
m037,42950
m030,44800
m028,38620
m061,34410
m060,35530
m059,40540
m058,49980
m057,59860
m056,51420
m055,50660
m054,31370
m053,31510
m052,43870
m051,43680
m050,35450
m049,34410
m048,59370
m047,43360
m046,46940
m045,35650
m044,40900
m043,40100
m039,32340
m035,43920
m033,50880
m032,45070
m029,38640
m027,39060
m026,38420
m023,39470
m019,41560
m016,43220
m013,42560
m009,41290
m004,39930
