# RxL_SN0003_calculated_noise_H_chan, 
# f (Hz), T_e_cal (K)
900499328.000000, 19.472999
901498048.000000, 19.776827
902496768.000000, 19.582694
903495488.000000, 19.402982
904494144.000000, 19.455826
905492864.000000, 19.439555
906491584.000000, 19.477787
907490304.000000, 19.599177
908488960.000000, 19.427574
909487680.000000, 19.391338
910486400.000000, 19.424678
911485056.000000, 19.349333
912483776.000000, 19.360368
913482496.000000, 19.361665
914481216.000000, 19.370061
915479872.000000, 19.454601
916478592.000000, 19.499883
917477312.000000, 19.411223
918476032.000000, 19.457821
919474688.000000, 19.297184
920473408.000000, 19.343313
921472128.000000, 19.598028
922470848.000000, 19.280740
923469504.000000, 19.378595
924468224.000000, 19.467816
925466944.000000, 19.510946
926465600.000000, 19.342339
927464320.000000, 19.539129
928463040.000000, 19.271933
929461760.000000, 19.554071
930460416.000000, 19.334093
931459136.000000, 19.518523
932457856.000000, 19.386931
933456576.000000, 19.765684
934455232.000000, 19.725883
935453952.000000, 19.724354
936452672.000000, 19.686029
937451392.000000, 19.691407
938450048.000000, 19.880659
939448768.000000, 19.777526
940447488.000000, 19.871229
941446144.000000, 19.788358
942444864.000000, 19.844641
943443584.000000, 19.819032
944442304.000000, 20.186484
945440960.000000, 19.924322
946439680.000000, 19.980369
947438400.000000, 20.127519
948437120.000000, 20.014883
949435776.000000, 19.937511
950434496.000000, 19.971233
951433216.000000, 19.968643
952431936.000000, 20.157748
953430592.000000, 20.407769
954429312.000000, 20.139539
955428032.000000, 20.042041
956426688.000000, 20.162274
957425408.000000, 20.056532
958424128.000000, 20.243683
959422848.000000, 20.142824
960421504.000000, 20.108139
961420224.000000, 19.998946
962418944.000000, 20.016204
963417664.000000, 20.115540
964416320.000000, 20.060471
965415040.000000, 19.900638
966413760.000000, 20.092248
967412480.000000, 19.979282
968411136.000000, 20.031195
969409856.000000, 19.829251
970408576.000000, 19.841007
971407232.000000, 20.019449
972405952.000000, 20.043152
973404672.000000, 19.796866
974403392.000000, 19.582796
975402048.000000, 19.933769
976400768.000000, 19.861627
977399488.000000, 19.880798
978398208.000000, 19.511037
979396864.000000, 19.540709
980395584.000000, 19.644838
981394304.000000, 19.465341
982393024.000000, 19.383228
983391680.000000, 19.658106
984390400.000000, 19.440614
985389120.000000, 19.448094
986387840.000000, 19.461368
987386496.000000, 19.311171
988385216.000000, 19.234591
989383936.000000, 19.282803
990382592.000000, 19.262964
991381312.000000, 19.310096
992380032.000000, 19.361447
993378752.000000, 19.296707
994377408.000000, 19.482004
995376128.000000, 19.458276
996374848.000000, 19.193099
997373568.000000, 19.237558
998372224.000000, 19.316639
999370944.000000, 19.343393
1000369664.000000, 19.015398
1001368384.000000, 19.244647
1002367040.000000, 19.188650
1003365760.000000, 19.276976
1004364480.000000, 19.151804
1005363136.000000, 19.338051
1006361856.000000, 19.359353
1007360576.000000, 19.172443
1008359296.000000, 19.378088
1009357952.000000, 19.184944
1010356672.000000, 19.321649
1011355392.000000, 19.248583
1012354112.000000, 19.241380
1013352768.000000, 19.204492
1014351488.000000, 19.248948
1015350208.000000, 19.242132
1016348928.000000, 19.180046
1017347584.000000, 19.063023
1018346304.000000, 19.503782
1019345024.000000, 19.225133
1020343680.000000, 19.246582
1021342400.000000, 19.380959
1022341120.000000, 19.504525
1023339840.000000, 19.323499
1024338496.000000, 19.633148
1025337216.000000, 19.457637
1026335936.000000, 19.342648
1027334656.000000, 19.423215
1028333312.000000, 19.645459
1029332032.000000, 19.459640
1030330752.000000, 19.585528
1031329472.000000, 19.599358
1032328128.000000, 19.532321
1033326848.000000, 19.752515
1034325568.000000, 19.682456
1035324224.000000, 19.579485
1036322944.000000, 19.584866
1037321664.000000, 19.469241
1038320384.000000, 19.528301
1039319040.000000, 19.683341
1040317760.000000, 19.773789
1041316480.000000, 19.385637
1042315200.000000, 19.621235
1043313856.000000, 19.639370
1044312576.000000, 19.546964
1045311296.000000, 19.743136
1046310016.000000, 19.503432
1047308672.000000, 19.538007
1048307392.000000, 19.450522
1049306112.000000, 19.522535
1050304768.000000, 19.645116
1051303488.000000, 19.258508
1052302208.000000, 19.388550
1053300928.000000, 19.347812
1054299584.000000, 19.423729
1055298304.000000, 19.202610
1056297024.000000, 19.446858
1057295744.000000, 19.442299
1058294400.000000, 19.235741
1059293120.000000, 19.344502
1060291840.000000, 19.216572
1061290560.000000, 19.314944
1062289216.000000, 19.080161
1063287936.000000, 19.072308
1064286656.000000, 19.289248
1065285312.000000, 19.292598
1066284032.000000, 18.945146
1067282752.000000, 19.062153
1068281472.000000, 19.250670
1069280128.000000, 19.072660
1070278848.000000, 18.904791
1071277568.000000, 19.079591
1072276288.000000, 19.107149
1073274944.000000, 18.906601
1074273664.000000, 18.843626
1075272320.000000, 18.776087
1076271104.000000, 18.885582
1077269760.000000, 18.829175
1078268544.000000, 18.807809
1079267200.000000, 18.802529
1080265856.000000, 18.657330
1081264640.000000, 18.665099
1082263296.000000, 18.810575
1083261952.000000, 18.553454
1084260736.000000, 18.603580
1085259392.000000, 18.741600
1086258048.000000, 18.627356
1087256832.000000, 18.717250
1088255488.000000, 18.544593
1089254272.000000, 18.527444
1090252928.000000, 18.562145
1091251584.000000, 18.550625
1092250368.000000, 18.407132
1093249024.000000, 18.289966
1094247680.000000, 18.505042
1095246464.000000, 18.510991
1096245120.000000, 18.532111
1097243776.000000, 18.570180
1098242560.000000, 18.385069
1099241216.000000, 18.553527
1100240000.000000, 18.470824
1101238656.000000, 18.566152
1102237312.000000, 18.651127
1103236096.000000, 18.517753
1104234752.000000, 18.620786
1105233408.000000, 18.613814
1106232192.000000, 18.594742
1107230848.000000, 18.355916
1108229632.000000, 18.630257
1109228288.000000, 18.680135
1110226944.000000, 18.606785
1111225728.000000, 18.594282
1112224384.000000, 18.801610
1113223040.000000, 18.722341
1114221824.000000, 18.704108
1115220480.000000, 18.796849
1116219136.000000, 18.651787
1117217920.000000, 18.617550
1118216576.000000, 18.602969
1119215360.000000, 18.741104
1120214016.000000, 18.826469
1121212672.000000, 18.967489
1122211456.000000, 18.987992
1123210112.000000, 18.844768
1124208768.000000, 18.929796
1125207552.000000, 18.857835
1126206208.000000, 19.042787
1127204992.000000, 19.101025
1128203648.000000, 19.243476
1129202304.000000, 19.049832
1130201088.000000, 19.255594
1131199744.000000, 19.154175
1132198400.000000, 19.139007
1133197184.000000, 19.244774
1134195840.000000, 19.294824
1135194496.000000, 19.456423
1136193280.000000, 19.309629
1137191936.000000, 19.348542
1138190720.000000, 19.443162
1139189376.000000, 19.493497
1140188032.000000, 19.448035
1141186816.000000, 19.510420
1142185472.000000, 19.604801
1143184128.000000, 19.474967
1144182912.000000, 19.494048
1145181568.000000, 19.304892
1146180224.000000, 19.582931
1147179008.000000, 19.493258
1148177664.000000, 19.680664
1149176448.000000, 19.812259
1150175104.000000, 19.432414
1151173760.000000, 19.552009
1152172544.000000, 19.517747
1153171200.000000, 19.506498
1154169856.000000, 19.488212
1155168640.000000, 19.628507
1156167296.000000, 19.569828
1157166080.000000, 19.516654
1158164736.000000, 19.704604
1159163392.000000, 19.528370
1160162176.000000, 19.461238
1161160832.000000, 19.590027
1162159488.000000, 19.581945
1163158272.000000, 19.631681
1164156928.000000, 19.467521
1165155584.000000, 19.437269
1166154368.000000, 19.338335
1167153024.000000, 19.431022
1168151808.000000, 19.363064
1169150464.000000, 19.542854
1170149120.000000, 19.462018
1171147904.000000, 19.243934
1172146560.000000, 19.402965
1173145216.000000, 19.081497
1174144000.000000, 19.232546
1175142656.000000, 19.074405
1176141312.000000, 18.968942
1177140096.000000, 19.157947
1178138752.000000, 19.020390
1179137536.000000, 18.801434
1180136192.000000, 19.099785
1181134848.000000, 18.799423
1182133632.000000, 18.864523
1183132288.000000, 18.681817
1184130944.000000, 18.735545
1185129728.000000, 18.566939
1186128384.000000, 18.494973
1187127168.000000, 18.658098
1188125824.000000, 18.585024
1189124480.000000, 18.295227
1190123264.000000, 18.394251
1191121920.000000, 18.366507
1192120576.000000, 18.275617
1193119360.000000, 18.408618
1194118016.000000, 18.261733
1195116672.000000, 18.175798
1196115456.000000, 17.970758
1197114112.000000, 18.182895
1198112896.000000, 17.942280
1199111552.000000, 17.918279
1200110208.000000, 17.927870
1201108992.000000, 17.932300
1202107648.000000, 17.795073
1203106304.000000, 17.780798
1204105088.000000, 17.727048
1205103744.000000, 17.641524
1206102528.000000, 17.530778
1207101184.000000, 17.632348
1208099840.000000, 17.555599
1209098624.000000, 17.488773
1210097280.000000, 17.516129
1211095936.000000, 17.562573
1212094720.000000, 17.487698
1213093376.000000, 17.386793
1214092032.000000, 17.256763
1215090816.000000, 17.402880
1216089472.000000, 17.236718
1217088256.000000, 17.356825
1218086912.000000, 17.239951
1219085568.000000, 17.242466
1220084352.000000, 17.363020
1221083008.000000, 17.403838
1222081664.000000, 17.420292
1223080448.000000, 17.352434
1224079104.000000, 17.276030
1225077760.000000, 17.313945
1226076544.000000, 17.487298
1227075200.000000, 17.526897
1228073984.000000, 17.266651
1229072640.000000, 17.341604
1230071296.000000, 17.304443
1231070080.000000, 17.331783
1232068736.000000, 17.403243
1233067392.000000, 17.189923
1234066176.000000, 17.292492
1235064832.000000, 17.455036
1236063616.000000, 17.455660
1237062272.000000, 17.494331
1238060928.000000, 17.483795
1239059712.000000, 17.357298
1240058368.000000, 17.608770
1241057024.000000, 17.706970
1242055808.000000, 17.726642
1243054464.000000, 17.569442
1244053120.000000, 17.618878
1245051904.000000, 17.705389
1246050560.000000, 17.899698
1247049344.000000, 18.052631
1248048000.000000, 18.014992
1249046656.000000, 18.035712
1250045440.000000, 18.096245
1251044096.000000, 18.038593
