# RxL_SN0003_calculated_noise_V_chan, 
# f (Hz), T_e_cal (K)
900499328.000000, 17.633681
901498048.000000, 17.371381
902496768.000000, 17.429909
903495488.000000, 17.388411
904494144.000000, 17.526416
905492864.000000, 17.468634
906491584.000000, 17.352550
907490304.000000, 17.266049
908488960.000000, 17.450771
909487680.000000, 17.365072
910486400.000000, 17.333930
911485056.000000, 17.238700
912483776.000000, 17.378377
913482496.000000, 17.375834
914481216.000000, 17.276087
915479872.000000, 17.406122
916478592.000000, 17.251921
917477312.000000, 17.178073
918476032.000000, 17.397305
919474688.000000, 17.456752
920473408.000000, 17.349176
921472128.000000, 17.548773
922470848.000000, 17.338350
923469504.000000, 17.301207
924468224.000000, 17.340127
925466944.000000, 17.561137
926465600.000000, 17.638407
927464320.000000, 17.389106
928463040.000000, 17.421480
929461760.000000, 17.329932
930460416.000000, 17.405646
931459136.000000, 17.470074
932457856.000000, 17.797091
933456576.000000, 17.312134
934455232.000000, 17.425616
935453952.000000, 17.651440
936452672.000000, 17.629306
937451392.000000, 17.505263
938450048.000000, 17.454062
939448768.000000, 17.538558
940447488.000000, 17.553048
941446144.000000, 17.501728
942444864.000000, 17.568491
943443584.000000, 17.407346
944442304.000000, 17.554696
945440960.000000, 17.597215
946439680.000000, 17.421347
947438400.000000, 17.536443
948437120.000000, 17.533155
949435776.000000, 17.497304
950434496.000000, 17.227900
951433216.000000, 17.452270
952431936.000000, 17.637476
953430592.000000, 17.467234
954429312.000000, 17.199648
955428032.000000, 17.377194
956426688.000000, 17.417961
957425408.000000, 17.090087
958424128.000000, 17.291783
959422848.000000, 17.337034
960421504.000000, 17.161362
961420224.000000, 17.204862
962418944.000000, 17.314901
963417664.000000, 16.983470
964416320.000000, 17.125181
965415040.000000, 17.032929
966413760.000000, 17.006762
967412480.000000, 17.161740
968411136.000000, 16.939370
969409856.000000, 17.014534
970408576.000000, 16.920034
971407232.000000, 16.949974
972405952.000000, 16.896767
973404672.000000, 16.747111
974403392.000000, 16.673112
975402048.000000, 16.766717
976400768.000000, 16.970106
977399488.000000, 16.797615
978398208.000000, 16.658465
979396864.000000, 16.651022
980395584.000000, 16.641425
981394304.000000, 16.577449
982393024.000000, 16.678504
983391680.000000, 16.612601
984390400.000000, 16.576062
985389120.000000, 16.542774
986387840.000000, 16.658266
987386496.000000, 16.634892
988385216.000000, 16.626081
989383936.000000, 16.740064
990382592.000000, 16.742436
991381312.000000, 16.633026
992380032.000000, 16.464412
993378752.000000, 16.551494
994377408.000000, 16.602047
995376128.000000, 16.570983
996374848.000000, 16.506484
997373568.000000, 16.520912
998372224.000000, 16.662905
999370944.000000, 16.554527
1000369664.000000, 16.489019
1001368384.000000, 16.670348
1002367040.000000, 16.573453
1003365760.000000, 16.475116
1004364480.000000, 16.472612
1005363136.000000, 16.679106
1006361856.000000, 16.650400
1007360576.000000, 16.679332
1008359296.000000, 16.395589
1009357952.000000, 16.551634
1010356672.000000, 16.726151
1011355392.000000, 16.869539
1012354112.000000, 16.711319
1013352768.000000, 16.725193
1014351488.000000, 16.919164
1015350208.000000, 16.763548
1016348928.000000, 16.777381
1017347584.000000, 16.849262
1018346304.000000, 17.040342
1019345024.000000, 16.987929
1020343680.000000, 16.800659
1021342400.000000, 16.924569
1022341120.000000, 16.975527
1023339840.000000, 16.951755
1024338496.000000, 16.920040
1025337216.000000, 17.151266
1026335936.000000, 16.851832
1027334656.000000, 17.065266
1028333312.000000, 17.024307
1029332032.000000, 17.070273
1030330752.000000, 16.948746
1031329472.000000, 17.237798
1032328128.000000, 17.029656
1033326848.000000, 17.120590
1034325568.000000, 16.915644
1035324224.000000, 17.059479
1036322944.000000, 17.065223
1037321664.000000, 17.106954
1038320384.000000, 17.044170
1039319040.000000, 16.865515
1040317760.000000, 17.148882
1041316480.000000, 17.025466
1042315200.000000, 17.220443
1043313856.000000, 17.093222
1044312576.000000, 17.183055
1045311296.000000, 17.231983
1046310016.000000, 17.057693
1047308672.000000, 17.015985
1048307392.000000, 17.113759
1049306112.000000, 17.013396
1050304768.000000, 17.022525
1051303488.000000, 16.984237
1052302208.000000, 17.031681
1053300928.000000, 16.934482
1054299584.000000, 16.842493
1055298304.000000, 16.996076
1056297024.000000, 16.842449
1057295744.000000, 16.883174
1058294400.000000, 17.015347
1059293120.000000, 16.602792
1060291840.000000, 16.831245
1061290560.000000, 16.692399
1062289216.000000, 16.462497
1063287936.000000, 16.727338
1064286656.000000, 16.870662
1065285312.000000, 16.744074
1066284032.000000, 16.964166
1067282752.000000, 16.927137
1068281472.000000, 16.713276
1069280128.000000, 16.651348
1070278848.000000, 16.501587
1071277568.000000, 16.808562
1072276288.000000, 16.801240
1073274944.000000, 16.820873
1074273664.000000, 16.734062
1075272320.000000, 16.478699
1076271104.000000, 16.724282
1077269760.000000, 16.815792
1078268544.000000, 16.500884
1079267200.000000, 16.730414
1080265856.000000, 16.802908
1081264640.000000, 16.757147
1082263296.000000, 16.720532
1083261952.000000, 16.531144
1084260736.000000, 16.545815
1085259392.000000, 16.797032
1086258048.000000, 16.586968
1087256832.000000, 16.784700
1088255488.000000, 16.534857
1089254272.000000, 16.901661
1090252928.000000, 16.605489
1091251584.000000, 16.844070
1092250368.000000, 16.916448
1093249024.000000, 16.821870
1094247680.000000, 16.729564
1095246464.000000, 16.634908
1096245120.000000, 16.831124
1097243776.000000, 16.865859
1098242560.000000, 16.666546
1099241216.000000, 16.725861
1100240000.000000, 16.723590
1101238656.000000, 16.761361
