0420-014 | *OA129, radec gaincal, 04:23:15.800727, -01:20:33.065310, (7000 15000 -3.5312 2.1972 -0.2889)
0454-234, radec gaincal, 04:57:03.179230, -23:24:52.020050, (7000 15000 -5.3703 3.0297 -0.3748)
0537-441 | *2E1488, radec gaincal, 05:38:50.362, -44:05:08.94, (7000 15000 -4.2629 2.4845 -0.3155)
0723-008 | *OI-39, radec gaincal, 07:25:50.639953, -00:54:56.544380, (7000 15000 -13.206 7.566 -1.017)
0727-115 | *OI-147, radec gaincal, 07:30:19.112472, -11:41:12.600480, (7000 15000 -13.65573 7.5182 -0.9812)
0851+202 | *OJ287, radec gaincal, 08:54:48.874925, 20:06:30.640880, (7000 15000 -10.668599 5.668 -0.705)
1055+018 | *OL93, radec gaincal, 10:58:29.605209, 01:33:58.823720, (7000 15000 -1.75579 0.5974 0.0)
1127-145 | *2E2471, radec gaincal, 11:30:07.052580, -14:49:27.388160, (7000 15000 10.8316 -5.4358 0.7183)
1226+023 | *3C273, radec gaincal, 12:29:06.699729, 02:03:08.598190, (7000 15000 10.0428 -3.8442 0.4112)
1253-055 | *3C279, radec gaincal, 12:56:11.166560, -05:47:21.524580, (7000 15000 -6.3383 3.8491 -0.4799)
1334-127 | *OP158.3, radec gaincal, 13:37:39.782780, -12:57:24.693230, (7000 15000 -5.92167 2.8394 -0.2864)
1424-418 | *WMAP191, radec gaincal, 14:27:56.29756258, -42:06:19.4376191, (7000 15000 2.5162 -0.9338 0.1159)
1730-130 | *OT-151, radec gaincal, 17:33:02.705790, -13:04:49.548230, (7000 15000 -5.3319 2.8857 -0.3455)
1921-293 | *OV236, radec gaincal, 19:24:51.055957, -29:14:30.121150, (7000 15000 -1.4704 1.0882 -0.1123)
2134+004 | *OX57, radec gaincal, 21:36:38.586299, 00:41:54.213350, (7000 15000 -13.6962 8.154 -1.13)
2251+158 | *3C454.3, radec gaincal, 22:53:57.747932, 16:08:53.560890, (7000 15000 -1.2536 0.6562 0.0)
