# Source list for pointing model observations
# ID       |  Name(s),                                        tag,   RA(J2000),     dec(J2000,)   flux polynomial,                                               unc[arcsec] source,             Gal l,  Gal b,~1400MHz flx,redshift,NED Object type     IRAS/X-ray  s-dish comment								     
J0322-3712 | *For A | Fornax A | NGC 1316 | PKS 0320-37,      radec, 03:22:36.4,   -37:14:21.0,  (1200.0 2000.0 2.097),                                          50x50      PKS90,              240.16, -56.69,   ~148 Jy,  v=1760,  LINER; S0              I; X       no   lobes ~ 1 deg; core low flux density; FRI core FRII lobes	     
J0437+2940 | *3C 123,                                         radec, 04:37:04.38,  +29:40:13.8,  (1408.0 23780.0 2.525 0.246 -0.1638),                           mas        VLBI 2.3/8.4 GHz,   170.58, -11.66,     47 Jy,  z=0.22,  LERG; FRII             X          ok   <1'								     
J0519-4546 | *Pic A | Pictor A | PKS 0518-45,                 radec, 05:19:49.69,  -45:46:44.5,  (635.0 5009.0 -1.265 3.036 -0.653),                             1.25x1.25  MOST,               251.60, -34.63,     69 Jy,  z=0.04,  LINER; S0 pec          X          no   ~6'; strong double lobes; FRII                 
J0534+2200 | *Tau A | Taurus A | 3C 144 | Crab | PKS 0531+21, radec, 05:34:31.97,  +22:00:52.1,  (1400.0 10000.0 3.915 -0.299),                                  0.5x0.5    opt/psr,            184.56,  -5.78,    930 Jy,        ,  SNR; Psr               I; X; Gam  no   ~5' @ 160MHz; single comp					     
J0535-0523 | *Ori A | Orion A | M42 | 3C 145 | PKS 0532-05,   radec, 05:35:17.26,  -05:23:28.8,  (1000.0 10000.0 -0.429874080747 1.64134149914 -0.219515164089), 7.5x7.5    Molonglo 408MHz,    209.01, -19.38,    410 Jy,        ,  HII; *Cl               X          no   < ~60'?                       
#J0833-4543 | *Vela X | CTB 26,                                radec, 08:33:32,     -45:43:42,    (400.0 2000.0 2.377),                                         180x180      Simbad/radio,       263.81,  -3.37,     ?? Jy,        ,  Gal Rad src: SNR?      Gam        no   									     
J0918-1205 | *Hyd A | Hydra A | 3C 218 | PKS 0915-11,         radec, 09:18:05.28,  -12:05:48.9,  (1408.0 10550.0 4.729 -1.025 0.0130),                          15x10       PMN 4.85 GHz,       242.93,  25.09,     43 Jy,  z=0.05,  S0; Sy 3; LINER; FRI   X          ok?  tot ext ~7'; main comp ~1.5'; tailed radio src			     
J1229+0203 | *3C 273 | PKS 1226+02,                           radec, 12:29:06.70,  +02:03:08.6,  (1410.0 8400.0 10.0465955419 -4.90623613415 0.709890678937),    mas        VLBI 2.3/8.4 GHz,   289.95,  64.36,     45 Jy,  z=0.16,  Sy 1.0; ULIRG; blazar  I; X; Gam  ok   compact core and jet of ~25"; circ pol				     
J1230+1223 | *Vir A | Virgo A | 3C 274 | M87 | PKS 1228+12,   radec, 12:30:49.42,  +12:23:28.0,  (1408.0 10550.0 4.484 -0.603 -0.0280),                          mas        VLBI 2.3/8.4 GHz,   283.78,  74.49,    220 Jy,  v=1307,  Sy; LINER; FRI; cD     I; X       ok   < ~1'; core dominated						     
J1615-6054 | *PKS 1610-60 | ESO 137-G006,                     radec, 16:15:01.4,   -60:55:02,    (750.0 12000.0 0.08319 2.14 -0.5243),                          18.3x15     PMN 4.85 GHz,       325.29,  -7.21,     43 Jy,  v=5480,  cD                                no   ~8'; strong inner lobes; in A3627         
J1651+0459 | *Her A | Hercules A | 3C 348 | PKS 1648+05,      radec, 16:51:08.02,  +04:59:34.9,  (1408.0 10550.0 3.852 -0.361 -0.1053),                          1.25x1.25  2Mass,               23.05,  28.95,     48 Jy,  z=0.15,  i.a. E/S0 pair; NLRG   X          no   ~5'; FRI/FRII                     
J1720-0058 | *3C 353 | PKS 1717-00,                           radec, 17:20:28.15,  -00:58:46.8,  (1408.0 10550.0 3.148 -0.157 -0.0911),                          1.25x1.25  2Mass,               21.20,  19.65,     56 Jy,  v=9120,  S0; NLRG                          no   ~5'; FRII               
J1959+4044 | *Cyg A | Cygnus A | 3C 405,                      radec, 19:59:28.36,  +40:44:02.1,  (20.0 2000.0 4.695 0.085 -0.178),                               mas        VLBI,                76.19,   5.76,   1590 Jy,  z=0.06,  Sy 2                   I; X       ok   ~3'; double radio src; cD; FRII					     
J2157-6941 | *PKS 2153-69 | ESO 075-G041,                     radec, 21:57:05.98,  -69:41:23.7,  (200.0 12000.0 2.923 -0.1222 -0.1043),                          mas        VLBI 2.3/8.4 GHz,   321.32, -40.65,     30 Jy,  v=8476,  S0; Sy 1/2?            I; X       ok   ~4' incl faint comp; FRII					     
#																											                                                                                                                  
#J0025-2602 | *PKS 0023-26 | OB-238,                           radec, 00:25:49.16,  -26:02:12.6,  (1410.0 8400.0 -1.69419422297 2.10689777152 -0.40432185373),    mas        VLBI 2.3/8.4 GHz,    42.27, -84.17,      9 Jy,  z=0.32,  Sy                                ok   CSS src								     
#J0046-4207 | *PKS 0043-42,                                    radec, 00:46:17.75,  -42:07:51.5,  (400.0 2000.0 3.12 -0.70),                                      1.25x1.25  2Mass,              306.61, -74.96,      8 Jy,  z=0.12,  E; LINER                          ok   < ~4'; FRII							     
J0137+3309 | *3C 48,                                          radec, 01:37:41.30,  +33:09:35.1,  (1408.0 23780.0 2.465 -0.004 -0.1251),                          mas        VLBI 2.3/8.4 GHz,   133.96, -28.72,     16 Jy,  z=0.37,  Sy 1.5                 I; X       ok   <10"; core dominated with faint ext'd em				     
J0319+4130 | *Per A | Perseus A | NGC 1275 | 3C 84,           radec, 03:19:48.16,  +41:30:42.1,  (400.0 2000.0 1.398),                                           mas        VLBI 2.3/8.4 GHz,   150.58, -13.26,     13 Jy,  v=5264,  LIRG; Sy 1.5; FRI; cD  I; X       ok?  strong core & jet inside 10' radio halo; BLLAC; 			     
J0408-6545 | *PKS 0408-65,                                    radec, 04:08:20.38,  -65:45:09.1,  (1410.0 8400.0 -3.70830186533 3.80739194577 -0.720249171902),   mas        VLBI 2.3/8.4 GHz,   278.64, -40.88,     15 Jy,  z=0.96,  BLLAC?                            ok   compact; GPS source						     
J0408-7507 | *PKS 0410-75,                                    radec, 04:08:49.07,  -75:07:13.7,  (200.0 12000.0 1.362 0.7345 -0.254),                            7.5x7.5    Molonglo 408 MHz,   288.98, -36.13,     14 Jy,  z=0.69,  NLRG                              ok   ~15"; FRII; lobe-domin; pol.					     
#J0440-4333 | *PKS 0438-43,                                    radec, 04:40:17.18,  -43:33:08.6,  (1410.0 8400.0 -4.82850957757 3.82855552335 -0.639544506483),   mas        VLBI 2.3/8.4 GHz,   248.41, -41.57,      6 Jy,  z=2.86,  QSO                    IRAS deep  ok   ~compact; 2-comp 						     
#J0521+1638 | *3C 138 | PKS 0518+16,                           radec, 05:21:09.89,  +16:38:22.1,  (1410.0 8400.0 -1.32934004351 1.91278744917 -0.376296576679),   mas        VLBI 2.3/8.4 GHz,   187.40, -11.34,      9 Jy,  z=0.76,  Sy 1.5; core-dom       X          ok   compact <1"; CSS src; pol; triple-comp; no flux var: flux calib	     
J0522-3627 | *PKS 0521-36 | ESO 362-G021,                     radec, 05:22:57.99,  -36:27:30.9,  (1410.0 8400.0 -0.476553541789 1.38252143286 -0.268873301084),  mas        VLBI 2.3/8.4 GHz,   240.61, -32.72,     17 Jy,  z=0.06,  E; FRI; BLLAC; Sy 1    I; X; Gam  ok   arcsec scale; core & jet						     
J0542+4951 | *3C 147,                                         radec, 05:42:36.14,  +49:51:07.2,  (1408.0 23780.0 2.806 -0.140 -0.1031),                          mas        VLBI 2.3/8.4 GHz,   161.69,  10.30,     22 Jy,  z=0.55,  Sy 1.8                 X          ok   < ~2"; core dom; faint ext'd 					     
J0627-0553 | *3C 161 | PKS 0624-05,                           radec, 06:27:10.12,  -05:53:05.2,  (1408.0 10550.0 1.250 0.726 -0.2286),                           0.4x0.4    PKS90,              215.44,  -8.07,     18 Jy,        ,  --                                ok?  VLA resolved; symm double					     
J0813-4813 | *3C 196,                                         radec, 08:13:36.03,  +48:13:02.6,  (26.0 22000.0 4.73 -1.09 0 0 -3.59 -1),                         0.2x0.13   opt/rad,            171.17,  33.24,     14 Jy,  z=0.87,  Sy1.8; DLAS; FRII                 ok   <10"; double src							     
J1256-0547 | *3C 279 | PKS 1253-05,                           radec, 12:56:11.17,  -05:47:21.5,  (1410.0 8400.0 -2.63293588849 2.11780853682 -0.300277548642),   mas        VLBI 2.3/8.4 GHz,   305.10,  57.06,     10 Jy,  z=0.54,  blazar                 I; X; Gam  ok   <20"; BLLAC; OVV							     
J1331+3030 | *3C 286,                                         radec, 13:31:08.29,  +30:30:33.0,  (1408.0 43200.0 0.956 0.584 -0.1644),                           mas        VLBI 2.3/8.4 GHz,    56.52,  80.67,     15 Jy,  z=0.85,  DLAS; Sy 1.5; core-do  X          ok   <~5"; primary flux calib (no variab)				     
J1411+5212 | *3C 295,                                         radec, 14:11:20.46,  +52:12:09.5,  (1408.0 32000.0 1.49 0.756 -0.2545),                            1.25x1.25  2Mass,               97.51,  60.80,     22 Jy,  z=0.46,  E/S0; NLRG; FRII       X          ok   ~10"; ext double lobe; no core; no flux var: prim flux calib	     
J1730-2129 | *3C 358 | PKS 1727-21,                           radec, 17:30:40.82,  -21:29:11.4,  (20.0 12000.0 2.398 0.02931 -0.1276),                          10.5x10.0   Molonglo 408 MHz,     4.53,   6.83,     14 Jy,        ,  PN; SNR (Kepler); HII  I; X       ok?  ~3' @ 160MHz; centralized?;					     
J1819-6345 | *PKS 1814-63,                                    radec, 18:19:35.00,  -63:45:48.2,  (1410.0 8400.0 -4.75426521227 4.07633969758 -0.706529394122),   mas        VLBI 2.3/8.4 GHz,   330.85, -20.76,     12 Jy,  z=0.06,  Sy 2                              ok   CSS with double lobes						     
J1829+4844 | *3C 380,                                         radec, 18:29:31.78,  +48:44:46.2,  (26.0 31400.0 3.165 -0.6294),                                   mas        VLBI 2.3/8.4 GHz,    77.23,  23.50,     14 Jy,  z=0.69,  Sy 1.5; core-dom       X          ok   <15"; FRII							     
#J1924-2914 | *PKS J1924-2914,                                 radec, 19:24:51.06,  -29:14:30.1,  ,                                                               mas        VLBI 2.3/8.4 GHz,     9.34, -19.60,      6 Jy,  z=0.35,  QSO; BLLAC             X          ok   compact; pol; OVV						     
J1939-6342 | *PKS 1934-63,                                    radec, 19:39:25.03,  -63:42:45.7,  (200.0 12000.0 -11.11 7.777 -1.231),                            mas        VLBI 2.3/8.4 GHz,   332.75, -29.39,     16 Jy,  z=0.18,  Sy 2                              ok   compact; GPS src							     
J2014+2334 | *3C 409 | PKS 2012+23,                           radec, 20:14:27.60,  +23:34:52.9,  (20.0 6000.0 2.538 0.1782 -0.1994),                             0.7x0.4    Texas Int 365 MHz,   63.40,  -6.12,     14 Jy,        ,  --                                ok   ~3'								     
J2107-2526 | *PKS 2104-25 | NGC 7018,                         radec, 21:07:20.66,  -25:26:12.3,  ,                                                              10.1x10     Molonglo 408 MHz,    21.47, -40.18,     11 Jy,  z=0.04,  E pec                             ok   <2'; core & lobes?						     
J2123+2504 | *3C 433,                                         radec, 21:23:44.53,  +25:04:11.9,  (20.0 6000.0 2.29 0.1239 -0.1597),                              0.8x0.7    Texas Int 365 MHz,   74.48, -17.69,     11 Jy,  z=0.10,  Sy 2; NLRG; FRI                   ok   <2'; edge-darkened appearance					     
J2253+1608 | *3C 454.3 | PKS 2251+15,                         radec, 22:53:57.75,  +16:08:53.6,  (1410.0 8400.0 -8.80333230571 5.55365027114 -0.771377783739),   mas        VLBI 2.3/8.4 GHz,    86.11, -38.18,     12 Jy,  z=0.86,  QSO; Core-dom; blazar  X; Gam     ok   <10"; core & jet; OVV                                                 
#CSS = compact steep spectruml; GPS = GHz peaked source OVV  = optical violent variable													       	       		    	    
