#T_nd for A1H (coupler)
#freq [Hz], T_nd [K]
1190500000, 3.3
1191281250, 3.3
1192062500, 3.3
1192843750, 3.3
1193625000, 3.3
1194406250, 3.2
1195187500, 3.2
1195968750, 3.2
1196750000, 3.2
1197531250, 3.2
1198312500, 3.2
1199093750, 3.2
1199875000, 3.2
1200656250, 3.2
1201437500, 3.2
1202218750, 3.2
1203000000, 3.2
1203781250, 3.1
1204562500, 3.1
1205343750, 3.1
1206125000, 3.1
1206906250, 3.1
1207687500, 3.1
1208468750, 3.1
1209250000, 3.1
1210031250, 3.1
1210812500, 3.1
1211593750, 3.1
1212375000, 3.1
1213156250, 3.2
1213937500, 3.2
1214718750, 3.2
1215500000, 3.2
1216281250, 3.2
1217062500, 3.2
1217843750, 3.2
1218625000, 3.2
1219406250, 3.2
1220187500, 3.2
1220968750, 3.2
1221750000, 3.2
1222531250, 3.2
1223312500, 3.2
1224093750, 3.2
1224875000, 3.1
1225656250, 3.1
1226437500, 3.1
1227218750, 3.0
1228000000, 3.0
1228781250, 3.0
1229562500, 3.0
1230343750, 3.0
1231125000, 3.0
1231906250, 3.0
1232687500, 3.0
1233468750, 3.0
1234250000, 3.0
1235031250, 3.0
1235812500, 3.0
1236593750, 3.0
1237375000, 3.0
1238156250, 3.0
1238937500, 3.0
1239718750, 3.0
1240500000, 3.0
1241281250, 3.0
1242062500, 3.0
1242843750, 3.0
1243625000, 3.0
1244406250, 3.0
1245187500, 3.1
1245968750, 3.1
1246750000, 3.1
1247531250, 3.1
1248312500, 3.1
1249093750, 3.1
1249875000, 3.1
1250656250, 3.1
1251437500, 3.1
1252218750, 3.1
1253000000, 3.2
1253781250, 3.2
1254562500, 3.2
1255343750, 3.2
1256125000, 3.2
1256906250, 3.2
1257687500, 3.2
1258468750, 3.2
1259250000, 3.1
1260031250, 3.1
1260812500, 3.1
1261593750, 3.1
1262375000, 3.1
1263156250, 3.1
1263937500, 3.1
1264718750, 3.1
1265500000, 3.1
1266281250, 3.1
1267062500, 3.1
1267843750, 3.1
1268625000, 3.1
1269406250, 3.1
1270187500, 3.1
1270968750, 3.1
1271750000, 3.1
1272531250, 3.0
1273312500, 3.0
1274093750, 3.0
1274875000, 3.0
1275656250, 3.0
1276437500, 2.9
1277218750, 2.9
1278000000, 2.9
1278781250, 2.9
1279562500, 2.9
1280343750, 2.9
1281125000, 2.9
1281906250, 2.9
1282687500, 2.9
1283468750, 3.0
1284250000, 3.0
1285031250, 3.0
1285812500, 3.0
1286593750, 3.0
1287375000, 3.0
1288156250, 3.0
1288937500, 3.0
1289718750, 3.1
1290500000, 3.1
1291281250, 3.1
1292062500, 3.1
1292843750, 3.2
1293625000, 3.2
1294406250, 3.2
1295187500, 3.2
1295968750, 3.2
1296750000, 3.2
1297531250, 3.2
1298312500, 3.1
1299093750, 3.1
1299875000, 3.1
1300656250, 3.1
1301437500, 3.1
1302218750, 3.1
1303000000, 3.1
1303781250, 3.1
1304562500, 3.1
1305343750, 3.1
1306125000, 3.1
1306906250, 3.1
1307687500, 3.1
1308468750, 3.1
1309250000, 3.1
1310031250, 3.1
1310812500, 3.1
1311593750, 3.2
1312375000, 3.2
1313156250, 3.2
