#T_nd for A1V (pin)
#freq [Hz], T_nd [K]
1190562500, 49.474
1191343750, 48.902
1192125000, 48.876
1192906250, 48.816
1193687500, 48.604
1194468750, 48.573
1195250000, 48.558
1196031250, 48.347
1196812500, 48.250
1197593750, 48.174
1198375000, 47.797
1199156250, 47.713
1199937500, 47.389
1200718750, 47.373
1201500000, 47.373
1202281250, 47.312
1203062500, 47.268
1203843750, 47.070
1204625000, 46.643
1205406250, 46.075
1206187500, 45.682
1206968750, 45.313
1207750000, 45.282
1208531250, 45.128
1209312500, 45.004
1210093750, 44.528
1210875000, 44.336
1211656250, 44.285
1212437500, 44.238
1213218750, 44.076
1214000000, 43.742
1214781250, 43.293
1215562500, 42.961
1216343750, 42.657
1217125000, 42.568
1217906250, 42.405
1218687500, 42.051
1219468750, 41.690
1220250000, 41.232
1221031250, 41.209
1221812500, 41.173
1222593750, 41.144
1223375000, 41.059
1224156250, 40.936
1224937500, 40.724
1225718750, 40.724
1226500000, 40.724
1227281250, 40.724
1228062500, 41.059
1228843750, 41.290
1229625000, 41.405
1230406250, 41.758
1231187500, 42.295
1231968750, 42.881
1232750000, 43.011
1233531250, 43.058
1234312500, 43.074
1235093750, 43.152
1235875000, 43.152
1236656250, 43.152
1237437500, 43.152
1238218750, 43.152
1239000000, 42.510
1239781250, 42.104
1240562500, 42.071
1241343750, 41.084
1242125000, 41.084
1242906250, 41.084
1243687500, 41.557
1244468750, 41.821
1245250000, 41.821
1246031250, 41.890
1246812500, 41.825
1247593750, 41.825
1248375000, 41.889
1249156250, 41.889
1249937500, 41.825
1250718750, 41.821
1251500000, 41.825
1252281250, 41.843
1253062500, 41.843
1253843750, 41.889
1254625000, 41.889
1255406250, 42.032
1256187500, 42.098
1256968750, 42.100
1257750000, 42.392
1258531250, 42.688
1259312500, 43.109
1260093750, 43.376
1260875000, 43.682
1261656250, 43.934
1262437500, 44.204
1263218750, 44.604
1264000000, 44.768
1264781250, 45.207
1265562500, 45.238
1266343750, 45.324
1267125000, 45.324
1267906250, 45.324
1268687500, 45.324
1269468750, 45.238
1270250000, 45.128
1271031250, 44.764
1271812500, 44.584
1272593750, 44.487
1273375000, 44.392
1274156250, 44.124
1274937500, 43.631
1275718750, 43.157
1276500000, 42.902
1277281250, 42.667
1278062500, 42.515
1278843750, 42.306
1279625000, 41.850
1280406250, 41.769
1281187500, 41.635
1281968750, 41.626
1282750000, 41.626
1283531250, 41.626
1284312500, 41.635
1285093750, 41.741
1285875000, 41.769
1286656250, 42.241
1287437500, 42.658
1288218750, 42.989
1289000000, 43.081
1289781250, 43.142
1290562500, 43.403
1291343750, 43.945
1292125000, 44.141
1292906250, 44.143
1293687500, 44.270
1294468750, 44.337
1295250000, 44.337
1296031250, 44.337
1296812500, 44.143
1297593750, 44.143
1298375000, 44.200
1299156250, 44.337
1299937500, 44.337
1300718750, 44.337
1301500000, 44.642
1302281250, 44.926
1303062500, 45.059
1303843750, 45.365
1304625000, 45.689
1305406250, 46.166
1306187500, 46.468
1306968750, 46.473
1307750000, 46.503
1308531250, 46.510
1309312500, 46.550
1310093750, 46.642
1310875000, 46.800
1311656250, 46.806
1312437500, 46.868
1313218750, 46.914
1314000000, 47.205
1314781250, 47.320
1315562500, 47.365
1316343750, 47.365
1317125000, 47.365
1317906250, 47.365
1318687500, 47.334
1319468750, 47.320
1320250000, 47.202
1321031250, 47.020
1321812500, 46.591
1322593750, 46.203
1323375000, 45.840
1324156250, 45.559
1324937500, 45.178
1325718750, 44.987
1326500000, 44.987
1327281250, 44.793
1328062500, 44.494
1328718750, 44.326
1329500000, 44.112
1330281250, 43.881
1331062500, 43.393
1331843750, 43.393
1332625000, 42.993
1333406250, 42.586
1334187500, 42.257
1334968750, 41.837
1335750000, 41.273
1336531250, 40.845
1337312500, 40.670
1338093750, 40.604
1338875000, 40.473
1339656250, 40.445
1340437500, 40.372
1341218750, 40.372
1342000000, 40.193
1342781250, 40.040
1343562500, 40.040
1344343750, 40.193
1345125000, 40.216
1345906250, 40.372
1346687500, 40.402
1347468750, 40.449
1348250000, 40.590
1349031250, 40.655
1349812500, 40.694
1350593750, 40.706
1351375000, 40.715
1352156250, 40.706
1352937500, 40.655
1353718750, 40.655
1354500000, 40.655
1355281250, 40.455
1356062500, 40.259
1356843750, 40.233
1357625000, 40.134
1358406250, 40.134
1359187500, 39.984
1359968750, 39.968
1360750000, 39.872
1361531250, 39.849
1362312500, 39.849
1363093750, 39.872
1363875000, 39.906
1364656250, 39.892
1365437500, 39.872
1366218750, 39.809
1367000000, 39.892
1367781250, 39.893
1368562500, 39.906
1369343750, 39.906
1370125000, 39.893
1370906250, 39.892
1371687500, 39.714
1372468750, 39.893
1373250000, 40.029
1374031250, 40.029
1374812500, 40.029
1375593750, 40.013
1376375000, 39.999
1377156250, 39.999
1377937500, 39.999
1378718750, 40.013
1379500000, 40.013
1380281250, 39.999
1381062500, 39.769
1381843750, 39.768
1382625000, 39.734
1383406250, 39.681
1384187500, 39.415
1384968750, 39.381
1385750000, 39.260
1386531250, 39.110
1387312500, 38.976
1388093750, 38.976
1388875000, 38.887
1389656250, 38.887
1390437500, 38.887
1391218750, 38.887
1392000000, 38.647
1392781250, 38.540
1393562500, 38.540
1394343750, 38.647
1395125000, 38.831
1395906250, 38.909
1396687500, 38.831
1397468750, 38.681
1398250000, 38.831
1399031250, 38.938
1399812500, 39.137
1400593750, 39.137
1401375000, 39.137
1402156250, 39.137
1402937500, 39.277
1403718750, 39.326
1404500000, 39.436
1405281250, 39.513
1406062500, 39.513
1406843750, 39.593
1407625000, 39.593
1408406250, 39.625
1409187500, 39.682
1409968750, 39.690
1410750000, 39.690
1411531250, 39.697
1412312500, 39.697
1413093750, 39.682
1413875000, 39.682
1414656250, 39.682
1415437500, 39.664
1416218750, 39.646
1417000000, 39.589
1417781250, 39.578
1418562500, 39.425
1419343750, 39.363
1420125000, 39.363
1420906250, 39.363
1421687500, 39.410
1422468750, 39.425
1423250000, 39.425
1424031250, 39.628
1424812500, 39.711
1425593750, 39.837
1426375000, 39.892
1427156250, 39.956
1427937500, 40.071
1428718750, 40.346
1429500000, 40.803
1430281250, 41.064
1431062500, 41.110
1431843750, 41.126
1432625000, 41.294
1433406250, 41.552
1434187500, 41.906
1434968750, 42.015
1435750000, 42.026
1436531250, 42.213
1437312500, 42.263
1438093750, 42.297
1438875000, 42.297
1439656250, 42.263
1440437500, 42.026
1441218750, 42.026
1442000000, 42.013
1442781250, 41.589
1443562500, 41.520
1444343750, 41.502
1445125000, 41.445
1445906250, 41.113
1446687500, 40.914
1447468750, 40.597
1448250000, 40.302
1449031250, 40.142
1449812500, 39.737
1450593750, 39.714
1451375000, 39.559
1452156250, 39.559
1452937500, 39.559
1453718750, 39.559
1454500000, 39.559
1455281250, 40.394
1456062500, 40.496
1456718750, 40.651
1457500000, 41.940
1458281250, 42.147
1459062500, 42.493
1459843750, 42.838
1460625000, 43.343
1461406250, 43.872
1462187500, 44.472
1462968750, 45.134
1463750000, 45.708
1464531250, 46.200
1465312500, 46.632
1466093750, 46.915
1466875000, 47.181
1467656250, 47.449
1468437500, 47.449
1469218750, 47.449
1470000000, 47.449
1470781250, 47.449
1471562500, 47.281
1472343750, 46.369
1473125000, 45.764
1473906250, 45.764
1474687500, 45.764
1475468750, 45.764
1476250000, 45.764
1477031250, 46.346
1477812500, 46.407
1478593750, 46.517
1479375000, 46.579
1480156250, 46.620
1480937500, 46.620
1481718750, 46.903
1482500000, 47.158
1483281250, 47.219
1484062500, 47.242
1484843750, 47.361
1485625000, 47.698
1486406250, 47.988
1487187500, 48.416
1487968750, 48.710
1488750000, 49.013
1489531250, 49.195
1490312500, 49.432
1491093750, 49.834
1491875000, 50.138
1492656250, 50.175
1493437500, 50.175
1494218750, 50.175
1495000000, 50.175
1495781250, 50.175
1496562500, 50.043
1497343750, 49.782
1498125000, 49.556
1498906250, 49.162
1499687500, 48.389
1500468750, 48.347
1501250000, 48.205
1502031250, 47.799
1502812500, 47.467
1503593750, 46.940
1504375000, 46.541
1505156250, 46.406
1505937500, 46.382
1506718750, 46.172
1507500000, 45.709
1508281250, 45.442
1509062500, 45.291
1509843750, 45.154
1510625000, 45.149
1511406250, 45.118
1512187500, 45.020
1512968750, 45.020
1513750000, 45.020
1514531250, 45.020
1515312500, 45.020
1516093750, 45.258
1516875000, 45.457
1517656250, 45.609
1518437500, 45.748
1519218750, 45.995
1520000000, 46.159
1520781250, 46.585
1521562500, 46.782
1522343750, 46.935
1523125000, 47.118
1523906250, 47.142
1524687500, 47.142
1525468750, 47.142
1526250000, 47.142
1527031250, 47.142
1527812500, 47.107
1528593750, 46.851
1529375000, 46.682
1530156250, 46.234
1530937500, 45.958
1531718750, 45.857
1532500000, 45.650
1533281250, 45.454
1534062500, 44.970
1534843750, 44.878
1535625000, 44.759
1536406250, 44.680
1537187500, 44.744
1537968750, 44.680
1538750000, 44.604
1539531250, 44.483
1540312500, 44.604
1541093750, 44.620
1541875000, 44.620
1542656250, 44.620
1543437500, 44.680
1544218750, 44.680
1545000000, 44.891
1545781250, 45.086
1546562500, 45.086
1547343750, 45.086
1548125000, 45.423
1548906250, 45.423
1549687500, 45.423
1550468750, 45.423
1551250000, 45.423
1552031250, 45.423
1552812500, 45.423
1553593750, 45.574
1554375000, 45.574
1555156250, 45.574
1555937500, 45.574
1556718750, 45.574
1557500000, 45.260
1558281250, 45.231
1559062500, 45.063
1559843750, 45.007
1560625000, 44.816
1561406250, 44.457
1562187500, 44.264
1562968750, 44.139
1563750000, 43.853
1564531250, 43.592
1565312500, 43.315
1566093750, 42.985
1566875000, 42.835
1567656250, 42.769
1568437500, 42.727
1569218750, 42.605
1570000000, 42.292
1570781250, 41.962
1571562500, 41.804
1572343750, 41.598
1573125000, 41.493
1573906250, 41.238
1574687500, 40.399
1575468750, 40.359
1576250000, 40.359
1577031250, 40.306
1577812500, 40.284
1578593750, 40.168
1579375000, 40.177
1580156250, 40.284
1580937500, 40.284
1581718750, 40.284
1582500000, 40.284
1583281250, 40.892
1584062500, 41.043
1584718750, 41.076
