#T_nd for A4H (pin)
#freq [Hz], T_nd [K]
1190562500, 51.216
1191343750, 50.990
1192125000, 50.848
1192906250, 50.616
1193687500, 50.569
1194468750, 50.569
1195250000, 50.569
1196031250, 50.569
1196812500, 50.569
1197593750, 50.569
1198375000, 50.624
1199156250, 50.699
1199937500, 50.833
1200718750, 51.046
1201500000, 51.103
1202281250, 51.103
1203062500, 51.103
1203843750, 51.103
1204625000, 51.183
1205406250, 51.270
1206187500, 51.334
1206968750, 51.386
1207750000, 51.407
1208531250, 51.407
1209312500, 51.407
1210093750, 51.406
1210875000, 51.406
1211656250, 51.406
1212437500, 51.406
1213218750, 51.406
1214000000, 51.328
1214781250, 51.244
1215562500, 51.023
1216343750, 50.910
1217125000, 50.729
1217906250, 50.716
1218687500, 50.471
1219468750, 50.320
1220250000, 50.198
1221031250, 50.193
1221812500, 50.190
1222593750, 50.098
1223375000, 49.990
1224156250, 49.891
1224937500, 49.891
1225718750, 49.891
1226500000, 49.891
1227281250, 49.891
1228062500, 49.891
1228843750, 50.214
1229625000, 50.339
1230406250, 50.608
1231187500, 50.887
1231968750, 51.203
1232750000, 51.203
1233531250, 51.203
1234312500, 51.203
1235093750, 51.480
1235875000, 51.532
1236656250, 51.599
1237437500, 51.612
1238218750, 51.803
1239000000, 52.278
1239781250, 53.259
1240562500, 53.524
1241343750, 53.524
1242125000, 53.524
1242906250, 53.524
1243687500, 53.524
1244468750, 53.524
1245250000, 53.398
1246031250, 53.213
1246812500, 53.213
1247593750, 53.213
1248375000, 53.213
1249156250, 53.213
1249937500, 53.213
1250718750, 53.434
1251500000, 53.492
1252281250, 53.553
1253062500, 53.567
1253843750, 53.618
1254625000, 53.844
1255406250, 54.013
1256187500, 54.254
1256968750, 54.424
1257750000, 54.653
1258531250, 55.144
1259312500, 55.467
1260093750, 55.467
1260875000, 55.796
1261656250, 56.119
1262437500, 56.338
1263218750, 56.745
1264000000, 57.020
1264781250, 57.387
1265562500, 57.387
1266343750, 57.387
1267125000, 57.387
1267906250, 57.387
1268687500, 57.387
1269468750, 57.363
1270250000, 57.162
1271031250, 56.998
1271812500, 56.908
1272593750, 56.694
1273375000, 56.535
1274156250, 56.418
1274937500, 56.255
1275718750, 55.950
1276500000, 55.761
1277281250, 55.538
1278062500, 55.326
1278843750, 55.292
1279625000, 55.184
1280406250, 55.184
1281187500, 55.184
1281968750, 55.184
1282750000, 55.184
1283531250, 55.184
1284312500, 55.357
1285093750, 55.478
1285875000, 55.921
1286656250, 56.420
1287437500, 57.030
1288218750, 57.520
1289000000, 57.912
1289781250, 58.337
1290562500, 58.855
1291343750, 59.443
1292125000, 60.024
1292906250, 60.375
1293687500, 60.543
1294468750, 60.543
1295250000, 60.543
1296031250, 60.543
1296812500, 60.543
1297593750, 60.543
1298375000, 60.086
1299156250, 59.511
1299937500, 58.474
1300718750, 57.854
1301500000, 56.716
1302281250, 55.405
1303062500, 54.269
1303843750, 53.235
1304625000, 52.471
1305406250, 51.987
1306187500, 51.808
1306968750, 51.808
1307750000, 51.808
1308531250, 51.808
1309312500, 51.808
1310093750, 51.808
1310875000, 51.878
1311656250, 52.109
1312437500, 52.387
1313218750, 52.620
1314000000, 53.151
1314781250, 53.267
1315562500, 53.670
1316343750, 53.986
1317125000, 54.293
1317906250, 54.639
1318687500, 54.841
1319468750, 54.841
1320250000, 54.841
1321031250, 54.841
1321812500, 54.841
1322593750, 54.841
1323375000, 54.653
1324156250, 54.378
1324937500, 54.024
1325718750, 53.657
1326500000, 53.232
1327281250, 53.069
1328062500, 52.235
1328718750, 52.222
1329500000, 52.058
1330281250, 51.559
1331062500, 51.108
1331843750, 50.684
1332625000, 50.403
1333406250, 50.170
1334187500, 49.894
1334968750, 49.681
1335750000, 49.416
1336531250, 49.204
1337312500, 49.204
1338093750, 49.204
1338875000, 49.204
1339656250, 49.204
1340437500, 49.204
1341218750, 49.251
1342000000, 49.323
1342781250, 49.509
1343562500, 49.623
1344343750, 49.821
1345125000, 49.912
1345906250, 50.068
1346687500, 50.212
1347468750, 50.212
1348250000, 50.212
1349031250, 50.212
1349812500, 50.212
1350593750, 50.212
1351375000, 50.100
1352156250, 49.976
1352937500, 49.783
1353718750, 49.380
1354500000, 49.115
1355281250, 48.859
1356062500, 48.510
1356843750, 48.069
1357625000, 47.708
1358406250, 47.331
1359187500, 46.899
1359968750, 46.618
1360750000, 46.489
1361531250, 46.281
1362312500, 46.026
1363093750, 46.014
1363875000, 45.983
1364656250, 45.983
1365437500, 45.983
1366218750, 45.983
1367000000, 45.983
1367781250, 46.014
1368562500, 46.028
1369343750, 46.316
1370125000, 46.593
1370906250, 46.785
1371687500, 46.959
1372468750, 47.168
1373250000, 47.408
1374031250, 47.589
1374812500, 47.791
1375593750, 47.987
1376375000, 48.124
1377156250, 48.183
1377937500, 48.306
1378718750, 48.449
1379500000, 48.557
1380281250, 48.557
1381062500, 48.557
1381843750, 48.557
1382625000, 48.557
1383406250, 48.557
1384187500, 48.546
1384968750, 48.336
1385750000, 48.298
1386531250, 48.154
1387312500, 47.906
1388093750, 47.900
1388875000, 47.884
1389656250, 47.650
1390437500, 47.495
1391218750, 47.280
1392000000, 47.123
1392781250, 47.043
1393562500, 46.758
1394343750, 46.662
1395125000, 46.527
1395906250, 46.297
1396687500, 46.297
1397468750, 46.217
1398250000, 45.938
1399031250, 45.688
1399812500, 45.541
1400593750, 45.429
1401375000, 45.331
1402156250, 45.235
1402937500, 45.235
1403718750, 45.233
1404500000, 45.233
1405281250, 45.201
1406062500, 45.193
1406843750, 45.193
1407625000, 45.197
1408406250, 45.190
1409187500, 45.190
1409968750, 45.113
1410750000, 45.112
1411531250, 45.112
1412312500, 45.075
1413093750, 45.075
1413875000, 45.075
1414656250, 45.062
1415437500, 45.007
1416218750, 45.005
1417000000, 45.005
1417781250, 45.007
1418562500, 45.062
1419343750, 45.075
1420125000, 45.075
1420906250, 45.261
1421687500, 45.483
1422468750, 45.505
1423250000, 45.663
1424031250, 45.887
1424812500, 46.042
1425593750, 46.233
1426375000, 46.489
1427156250, 46.649
1427937500, 46.891
1428718750, 47.174
1429500000, 47.401
1430281250, 47.602
1431062500, 47.828
1431843750, 48.172
1432625000, 48.373
1433406250, 48.479
1434187500, 48.688
1434968750, 48.981
1435750000, 49.064
1436531250, 49.191
1437312500, 49.233
1438093750, 49.402
1438875000, 49.477
1439656250, 49.649
1440437500, 49.654
1441218750, 49.657
1442000000, 49.657
1442781250, 49.657
1443562500, 49.657
1444343750, 49.657
1445125000, 49.657
1445906250, 49.578
1446687500, 49.496
1447468750, 49.458
1448250000, 49.441
1449031250, 49.384
1449812500, 49.227
1450593750, 49.226
1451375000, 49.223
1452156250, 49.213
1452937500, 49.193
1453718750, 49.173
1454500000, 49.172
1455281250, 49.083
1456062500, 49.080
1456718750, 49.006
1457500000, 48.962
1458281250, 48.805
1459062500, 48.516
1459843750, 48.299
1460625000, 48.015
1461406250, 47.788
1462187500, 47.569
1462968750, 47.479
1463750000, 47.233
1464531250, 47.221
1465312500, 47.221
1466093750, 47.202
1466875000, 47.182
1467656250, 47.171
1468437500, 47.125
1469218750, 47.125
1470000000, 47.117
1470781250, 46.678
1471562500, 46.651
1472343750, 40.782
1473125000, 40.782
1473906250, 40.782
1474687500, 40.782
1475468750, 40.782
1476250000, 40.782
1477031250, 45.903
1477812500, 45.903
1478593750, 45.903
1479375000, 45.903
1480156250, 45.903
1480937500, 45.903
1481718750, 45.903
1482500000, 45.903
1483281250, 45.903
1484062500, 45.903
1484843750, 45.903
1485625000, 46.025
1486406250, 46.174
1487187500, 46.341
1487968750, 46.594
1488750000, 46.781
1489531250, 46.993
1490312500, 47.327
1491093750, 47.563
1491875000, 47.710
1492656250, 47.757
1493437500, 47.757
1494218750, 47.757
1495000000, 47.757
1495781250, 47.757
1496562500, 47.757
1497343750, 47.638
1498125000, 47.404
1498906250, 47.243
1499687500, 46.927
1500468750, 46.731
1501250000, 46.407
1502031250, 46.151
1502812500, 45.890
1503593750, 45.708
1504375000, 45.559
1505156250, 45.195
1505937500, 44.962
1506718750, 44.871
1507500000, 44.663
1508281250, 44.487
1509062500, 44.325
1509843750, 44.147
1510625000, 44.078
1511406250, 44.004
1512187500, 44.004
1512968750, 44.004
1513750000, 44.004
1514531250, 44.004
1515312500, 44.004
1516093750, 44.004
1516875000, 44.086
1517656250, 44.271
1518437500, 44.301
1519218750, 44.356
1520000000, 44.450
1520781250, 44.450
1521562500, 44.450
1522343750, 44.450
1523125000, 44.450
1523906250, 44.023
1524687500, 44.023
1525468750, 43.792
1526250000, 43.594
1527031250, 43.408
1527812500, 43.067
1528593750, 42.223
1529375000, 42.152
1530156250, 42.152
1530937500, 41.887
1531718750, 41.334
1532500000, 40.732
1533281250, 40.471
1534062500, 40.188
1534843750, 39.909
1535625000, 39.804
1536406250, 39.680
1537187500, 39.502
1537968750, 39.486
1538750000, 39.306
1539531250, 39.306
1540312500, 39.306
1541093750, 39.175
1541875000, 39.175
1542656250, 39.175
1543437500, 39.175
1544218750, 39.631
1545000000, 39.635
1545781250, 39.660
1546562500, 39.668
1547343750, 39.743
1548125000, 40.150
1548906250, 40.150
1549687500, 40.150
1550468750, 40.207
1551250000, 40.354
1552031250, 40.463
1552812500, 40.463
1553593750, 40.354
1554375000, 40.337
1555156250, 40.337
1555937500, 40.110
1556718750, 39.810
1557500000, 39.810
1558281250, 39.810
1559062500, 39.458
1559843750, 39.086
1560625000, 38.571
1561406250, 38.537
1562187500, 38.497
1562968750, 38.446
1563750000, 38.180
1564531250, 37.928
1565312500, 37.749
1566093750, 37.599
1566875000, 37.593
1567656250, 37.492
1568437500, 37.492
1569218750, 37.492
1570000000, 37.466
1570781250, 37.465
1571562500, 37.465
1572343750, 37.459
1573125000, 37.466
1573906250, 37.492
1574687500, 37.492
1575468750, 37.635
1576250000, 37.658
1577031250, 37.814
1577812500, 38.016
1578593750, 38.025
1579375000, 38.025
1580156250, 38.025
1580937500, 38.025
1581718750, 38.025
1582500000, 38.025
1583281250, 37.823
1584062500, 37.756
1584718750, 37.650
1585500000, 37.347
1586281250, 37.231
1587062500, 37.184
1587843750, 37.176
1588625000, 37.120
1589406250, 36.966
1590187500, 36.861
1590968750, 36.817
1591750000, 36.702
1592531250, 36.568
1593312500, 36.568
1594093750, 36.568
1594875000, 36.568
1595656250, 36.559
1596437500, 36.556
1597218750, 36.556
1598000000, 36.556
1598781250, 36.607
1599562500, 36.663
1600343750, 36.763
1601125000, 36.763
1601906250, 36.763
1602687500, 37.203
1603468750, 37.379
1604250000, 37.515
1605031250, 37.682
1605812500, 37.815
1606593750, 38.075
1607375000, 38.363
1608156250, 38.712
1608937500, 38.970
1609718750, 39.104
1610500000, 39.140
1611281250, 39.343
1612062500, 39.424
1612843750, 39.470
1613625000, 39.488
1614406250, 39.589
1615187500, 39.589
1615968750, 39.589
1616750000, 39.589
1617531250, 39.672
1618312500, 39.737
1619093750, 39.741
1619875000, 39.741
1620656250, 39.737
1621437500, 39.737
1622218750, 39.737
1623000000, 39.782
1623781250, 39.802
1624562500, 39.809
1625343750, 40.324
1626125000, 40.446
1626906250, 40.591
1627687500, 40.591
1628468750, 40.654
1629250000, 40.761
1630031250, 41.044
1630812500, 41.143
1631593750, 41.427
1632375000, 41.654
1633156250, 41.934
1633937500, 42.133
1634718750, 42.482
1635500000, 42.697
1636281250, 42.931
1637062500, 43.107
1637843750, 43.336
1638625000, 43.543
1639406250, 43.666
1640187500, 43.977
1640968750, 44.045
1641750000, 44.261
1642531250, 44.261
1643312500, 44.261
1644093750, 44.261
1644875000, 44.285
1645656250, 44.358
1646437500, 44.414
1647218750, 44.532
1648000000, 44.532
1648781250, 44.529
1649562500, 44.395
1650343750, 44.395
1651125000, 44.395
1651906250, 44.395
1652687500, 44.395
1653468750, 44.229
1654250000, 44.148
1655031250, 44.148
1655812500, 44.148
1656593750, 44.148
1657375000, 44.148
1658156250, 44.148
1658937500, 44.155
1659718750, 44.395
1660500000, 44.484
1661281250, 44.711
1662062500, 44.959
1662843750, 45.233
1663625000, 45.449
1664406250, 45.782
1665187500, 45.975
1665968750, 46.250
1666750000, 46.250
1667531250, 46.250
1668312500, 46.250
1669093750, 46.250
1669875000, 46.250
1670656250, 46.029
1671437500, 45.317
1672218750, 44.289
1673000000, 42.676
1673781250, 40.136
1674562500, 40.015
1675343750, 40.015
1676125000, 40.015
1676906250, 40.015
1677687500, 40.015
1678468750, 40.015
1679250000, 43.999
1680031250, 46.258
1680812500, 47.600
1681593750, 48.394
1682375000, 48.926
1683156250, 49.255
1683937500, 49.512
1684718750, 49.744
1685500000, 49.847
1686281250, 49.933
1687062500, 49.989
1687843750, 50.149
1688625000, 50.546
1689406250, 50.815
1690187500, 51.082
1690968750, 51.312
1691750000, 51.787
1692531250, 52.154
1693312500, 52.543
1694093750, 52.900
1694875000, 53.245
1695656250, 53.556
1696437500, 53.896
1697218750, 54.206
1698000000, 54.518
1698781250, 54.568
1699562500, 54.568
