#T_nd for A4V (coupler)
#freq [Hz], T_nd [K]
1190562500, 3.193
1191343750, 3.194
1192125000, 3.194
1192906250, 3.194
1193687500, 3.194
1194468750, 3.201
1195250000, 3.201
1196031250, 3.201
1196812500, 3.206
1197593750, 3.210
1198375000, 3.210
1199156250, 3.210
1199937500, 3.210
1200718750, 3.210
1201500000, 3.210
1202281250, 3.201
1203062500, 3.201
1203843750, 3.200
1204625000, 3.190
1205406250, 3.190
1206187500, 3.190
1206968750, 3.190
1207750000, 3.200
1208531250, 3.200
1209312500, 3.200
1210093750, 3.200
1210875000, 3.204
1211656250, 3.204
1212437500, 3.204
1213218750, 3.206
1214000000, 3.253
1214781250, 3.255
1215562500, 3.285
1216343750, 3.387
1217125000, 3.407
1217906250, 3.453
1218687500, 3.453
1219468750, 3.458
1220250000, 3.463
1221031250, 3.483
1221812500, 3.483
1222593750, 3.483
1223375000, 3.483
1224156250, 3.483
1224937500, 3.483
1225718750, 3.463
1226500000, 3.458
1227281250, 3.453
1228062500, 3.444
1228843750, 3.346
1229625000, 3.250
1230406250, 3.227
1231187500, 3.208
1231968750, 3.201
1232750000, 3.163
1233531250, 3.159
1234312500, 3.090
1235093750, 3.084
1235875000, 3.083
1236656250, 3.080
1237437500, 3.069
1238218750, 3.048
1239000000, 3.048
1239781250, 3.048
1240562500, 3.044
1241343750, 3.044
1242125000, 3.044
1242906250, 3.048
1243687500, 3.048
1244468750, 3.048
1245250000, 3.048
1246031250, 3.068
1246812500, 3.083
1247593750, 3.098
1248375000, 3.101
1249156250, 3.112
1249937500, 3.128
1250718750, 3.128
1251500000, 3.134
1252281250, 3.137
1253062500, 3.142
1253843750, 3.143
1254625000, 3.143
1255406250, 3.146
1256187500, 3.155
1256968750, 3.156
1257750000, 3.156
1258531250, 3.165
1259312500, 3.169
1260093750, 3.170
1260875000, 3.205
1261656250, 3.209
1262437500, 3.215
1263218750, 3.218
1264000000, 3.221
1264781250, 3.225
1265562500, 3.226
1266343750, 3.232
1267125000, 3.232
1267906250, 3.243
1268687500, 3.243
1269468750, 3.252
1270250000, 3.252
1271031250, 3.252
1271812500, 3.252
1272593750, 3.252
1273375000, 3.243
1274156250, 3.234
1274937500, 3.232
1275718750, 3.232
1276500000, 3.232
1277281250, 3.232
1278062500, 3.220
1278843750, 3.205
1279625000, 3.204
1280406250, 3.198
1281187500, 3.181
1281968750, 3.165
1282750000, 3.165
1283531250, 3.143
1284312500, 3.138
1285093750, 3.138
1285875000, 3.138
1286656250, 3.138
1287437500, 3.138
1288218750, 3.138
1289000000, 3.138
1289781250, 3.138
1290562500, 3.138
1291343750, 3.178
1292125000, 3.185
1292906250, 3.187
1293687500, 3.187
1294468750, 3.188
1295250000, 3.199
1296031250, 3.200
1296812500, 3.211
1297593750, 3.211
1298375000, 3.211
1299156250, 3.211
1299937500, 3.214
1300718750, 3.215
1301500000, 3.222
1302281250, 3.224
1303062500, 3.225
1303843750, 3.228
1304625000, 3.228
1305406250, 3.228
1306187500, 3.229
1306968750, 3.230
1307750000, 3.242
1308531250, 3.242
1309312500, 3.242
1310093750, 3.246
1310875000, 3.252
1311656250, 3.252
1312437500, 3.258
1313218750, 3.292
1314000000, 3.307
1314781250, 3.340
1315562500, 3.349
1316343750, 3.350
1317125000, 3.363
1317906250, 3.378
1318687500, 3.383
1319468750, 3.391
1320250000, 3.394
1321031250, 3.399
1321812500, 3.415
1322593750, 3.416
1323375000, 3.422
1324156250, 3.424
1324937500, 3.429
1325718750, 3.434
1326500000, 3.438
1327281250, 3.442
1328062500, 3.444
1328718750, 3.456
1329500000, 3.456
1330281250, 3.456
1331062500, 3.456
1331843750, 3.456
1332625000, 3.458
1333406250, 3.458
1334187500, 3.458
1334968750, 3.456
1335750000, 3.458
1336531250, 3.458
1337312500, 3.456
1338093750, 3.456
1338875000, 3.456
1339656250, 3.456
1340437500, 3.456
1341218750, 3.456
1342000000, 3.456
1342781250, 3.456
1343562500, 3.456
1344343750, 3.470
1345125000, 3.471
1345906250, 3.472
1346687500, 3.474
1347468750, 3.474
1348250000, 3.474
1349031250, 3.474
1349812500, 3.474
1350593750, 3.472
1351375000, 3.472
1352156250, 3.472
1352937500, 3.472
1353718750, 3.471
1354500000, 3.454
1355281250, 3.431
1356062500, 3.417
1356843750, 3.417
1357625000, 3.410
1358406250, 3.371
1359187500, 3.371
1359968750, 3.371
1360750000, 3.371
1361531250, 3.371
1362312500, 3.371
1363093750, 3.371
1363875000, 3.371
1364656250, 3.371
1365437500, 3.371
1366218750, 3.371
1367000000, 3.398
1367781250, 3.409
1368562500, 3.417
1369343750, 3.417
1370125000, 3.420
1370906250, 3.420
1371687500, 3.422
1372468750, 3.422
1373250000, 3.425
1374031250, 3.430
1374812500, 3.434
1375593750, 3.438
1376375000, 3.440
1377156250, 3.440
1377937500, 3.442
1378718750, 3.443
1379500000, 3.445
1380281250, 3.450
1381062500, 3.453
1381843750, 3.465
1382625000, 3.475
1383406250, 3.510
1384187500, 3.521
1384968750, 3.526
1385750000, 3.528
1386531250, 3.540
1387312500, 3.544
1388093750, 3.544
1388875000, 3.546
1389656250, 3.558
1390437500, 3.562
1391218750, 3.563
1392000000, 3.562
1392781250, 3.562
1393562500, 3.561
1394343750, 3.561
1395125000, 3.561
1395906250, 3.558
1396687500, 3.555
1397468750, 3.548
1398250000, 3.548
1399031250, 3.548
1399812500, 3.548
1400593750, 3.548
1401375000, 3.546
1402156250, 3.545
1402937500, 3.545
1403718750, 3.536
1404500000, 3.533
1405281250, 3.533
1406062500, 3.527
1406843750, 3.523
1407625000, 3.523
1408406250, 3.504
1409187500, 3.504
1409968750, 3.483
1410750000, 3.483
1411531250, 3.483
1412312500, 3.483
1413093750, 3.482
1413875000, 3.482
1414656250, 3.482
1415437500, 3.482
1416218750, 3.482
1417000000, 3.483
1417781250, 3.498
1418562500, 3.504
1419343750, 3.511
1420125000, 3.526
1420906250, 3.554
1421687500, 3.599
1422468750, 3.604
1423250000, 3.624
1424031250, 3.624
1424812500, 3.624
1425593750, 3.624
1426375000, 3.624
1427156250, 3.624
1427937500, 3.624
1428718750, 3.624
1429500000, 3.624
1430281250, 3.607
1431062500, 3.607
1431843750, 3.607
1432625000, 3.604
1433406250, 3.604
1434187500, 3.604
1434968750, 3.604
1435750000, 3.604
1436531250, 3.602
1437312500, 3.600
1438093750, 3.600
1438875000, 3.602
1439656250, 3.602
1440437500, 3.602
1441218750, 3.602
1442000000, 3.602
1442781250, 3.600
1443562500, 3.598
1444343750, 3.598
1445125000, 3.598
1445906250, 3.598
1446687500, 3.596
1447468750, 3.589
1448250000, 3.587
1449031250, 3.577
