#T_nd for A1V (pin)
#freq [Hz], T_nd [K]
1190500000, 57.4
1191281250, 56.9
1192062500, 56.7
1192843750, 56.3
1193625000, 55.9
1194406250, 55.3
1195187500, 54.5
1195968750, 54.2
1196750000, 53.5
1197531250, 53.2
1198312500, 52.8
1199093750, 52.3
1199875000, 52.1
1200656250, 52.0
1201437500, 51.8
1202218750, 51.6
1203000000, 51.4
1203781250, 51.1
1204562500, 50.8
1205343750, 50.8
1206125000, 50.4
1206906250, 50.1
1207687500, 50.0
1208468750, 49.9
1209250000, 49.9
1210031250, 49.7
1210812500, 49.4
1211593750, 49.2
1212375000, 49.0
1213156250, 48.9
1213937500, 48.7
1214718750, 48.5
1215500000, 48.3
1216281250, 48.2
1217062500, 47.9
1217843750, 47.7
1218625000, 47.6
1219406250, 47.4
1220187500, 47.0
1220968750, 46.9
1221750000, 46.5
1222531250, 46.0
1223312500, 45.7
1224093750, 45.3
1224875000, 45.0
1225656250, 44.8
1226437500, 44.7
1227218750, 44.7
1228000000, 44.7
1228781250, 44.7
1229562500, 45.1
1230343750, 45.4
1231125000, 45.7
1231906250, 46.0
1232687500, 46.3
1233468750, 46.6
1234250000, 46.9
1235031250, 46.9
1235812500, 46.9
1236593750, 46.9
1237375000, 46.8
1238156250, 46.4
1238937500, 45.9
1239718750, 44.4
1240500000, 44.4
1241281250, 44.4
1242062500, 44.4
1242843750, 45.6
1243625000, 45.6
1244406250, 45.6
1245187500, 45.6
1245968750, 45.3
1246750000, 45.3
1247531250, 45.3
1248312500, 45.2
1249093750, 45.2
1249875000, 45.3
1250656250, 45.3
1251437500, 45.1
1252218750, 45.1
1253000000, 45.1
1253781250, 45.2
1254562500, 45.3
1255343750, 45.3
1256125000, 45.5
1256906250, 45.7
1257687500, 46.1
1258468750, 46.3
1259250000, 46.3
1260031250, 46.5
1260812500, 46.7
1261593750, 46.7
1262375000, 47.5
1263156250, 47.6
1263937500, 47.6
1264718750, 47.7
1265500000, 47.7
1266281250, 47.6
1267062500, 47.6
1267843750, 47.6
1268625000, 47.4
1269406250, 46.9
1270187500, 46.5
1270968750, 46.2
1271750000, 45.9
1272531250, 45.7
1273312500, 45.3
1274093750, 44.8
1274875000, 44.3
1275656250, 44.1
1276437500, 44.0
1277218750, 43.9
1278000000, 43.7
1278781250, 43.2
1279562500, 43.2
1280343750, 43.2
1281125000, 43.2
1281906250, 43.5
1282687500, 43.5
1283468750, 43.7
1284250000, 43.8
1285031250, 44.2
1285812500, 44.8
1286593750, 45.4
1287375000, 45.9
1288156250, 46.2
1288937500, 46.5
1289718750, 46.9
1290500000, 47.5
1291281250, 48.0
1292062500, 48.1
1292843750, 48.1
1293625000, 48.2
1294406250, 48.2
1295187500, 48.1
1295968750, 48.1
1296750000, 47.9
1297531250, 47.5
1298312500, 47.1
1299093750, 47.1
1299875000, 47.1
1300656250, 47.1
1301437500, 47.2
1302218750, 47.3
1303000000, 47.6
1303781250, 47.8
1304562500, 48.0
1305343750, 48.1
1306125000, 48.1
1306906250, 48.1
1307687500, 48.1
1308468750, 48.1
1309250000, 48.1
1310031250, 48.1
1310812500, 48.1
1311593750, 48.1
1312375000, 48.1
1313156250, 48.1
1313937500, 48.2
1314718750, 48.7
1315500000, 48.7
1316281250, 48.8
1317062500, 48.9
1317843750, 48.9
1318625000, 48.9
1319406250, 48.9
1320187500, 48.9
1320968750, 48.9
1321750000, 48.8
1322531250, 48.6
1323312500, 48.4
1324093750, 48.3
1324875000, 48.2
1325656250, 48.1
1326437500, 47.7
1327218750, 46.8
1328000000, 46.2
1328781250, 46.1
1329562500, 46.1
1330343750, 45.4
1331125000, 44.6
1331906250, 44.2
1332687500, 43.9
1333468750, 43.8
1334250000, 43.6
1335031250, 43.3
1335812500, 43.1
1336593750, 43.1
1337375000, 43.0
1338156250, 43.0
1338937500, 42.9
1339718750, 42.9
1340500000, 42.9
1341281250, 42.9
1342062500, 42.9
1342843750, 43.0
1343625000, 43.0
1344406250, 43.0
1345187500, 43.0
1345968750, 43.0
1346750000, 43.0
1347531250, 42.9
1348312500, 42.9
1349093750, 42.9
1349875000, 42.8
1350656250, 42.6
1351437500, 42.6
1352218750, 42.6
1353000000, 42.4
1353781250, 42.2
1354562500, 42.1
1355343750, 41.7
1356125000, 41.7
1356906250, 41.5
1357687500, 41.5
1358468750, 41.3
1359250000, 41.2
1360031250, 41.2
1360812500, 41.2
1361593750, 41.2
1362375000, 41.2
1363156250, 41.2
1363937500, 41.3
1364718750, 41.4
1365500000, 41.4
1366281250, 41.5
1367062500, 41.7
1367843750, 42.0
1368625000, 42.0
1369406250, 42.1
1370187500, 42.4
1370968750, 42.6
1371750000, 42.6
1372531250, 42.8
1373312500, 42.9
1374093750, 43.1
1374875000, 43.1
1375656250, 43.1
1376437500, 43.1
1377218750, 43.1
1378000000, 43.0
1378781250, 43.0
1379562500, 42.9
1380343750, 42.9
1381125000, 42.4
1381906250, 42.4
1382687500, 42.3
