#T_nd for A4H (coupler)
#freq [Hz], T_nd [K]
1190500000, 5.1
1191281250, 4.9
1192062500, 4.7
1192843750, 4.6
1193625000, 4.5
1194406250, 4.5
1195187500, 4.5
1195968750, 4.4
1196750000, 4.4
1197531250, 4.4
1198312500, 4.3
1199093750, 4.2
1199875000, 4.1
1200656250, 4.1
1201437500, 4.1
1202218750, 4.0
1203000000, 4.0
1203781250, 4.0
1204562500, 4.0
1205343750, 4.0
1206125000, 4.0
1206906250, 3.9
1207687500, 3.9
1208468750, 3.9
1209250000, 3.9
1210031250, 3.9
1210812500, 3.9
1211593750, 3.9
1212375000, 3.9
1213156250, 3.9
1213937500, 3.9
1214718750, 3.9
1215500000, 3.9
1216281250, 3.9
1217062500, 3.9
1217843750, 3.9
1218625000, 3.9
1219406250, 3.9
1220187500, 4.0
1220968750, 4.0
1221750000, 4.0
1222531250, 4.0
1223312500, 4.0
1224093750, 4.0
1224875000, 4.0
1225656250, 4.0
1226437500, 3.9
1227218750, 3.9
1228000000, 3.9
1228781250, 3.9
1229562500, 3.9
1230343750, 3.9
1231125000, 3.8
1231906250, 3.8
1232687500, 3.8
1233468750, 3.8
1234250000, 3.8
1235031250, 3.8
1235812500, 3.8
1236593750, 3.8
1237375000, 3.8
1238156250, 3.8
1238937500, 3.8
1239718750, 3.9
1240500000, 3.9
1241281250, 3.9
1242062500, 4.0
1242843750, 4.0
1243625000, 4.0
1244406250, 4.0
1245187500, 4.0
1245968750, 4.0
1246750000, 4.0
1247531250, 4.0
1248312500, 4.0
1249093750, 4.0
1249875000, 4.0
1250656250, 4.0
1251437500, 4.0
1252218750, 4.0
1253000000, 4.0
1253781250, 4.0
1254562500, 4.0
1255343750, 4.0
1256125000, 4.0
1256906250, 4.0
1257687500, 4.0
1258468750, 4.0
1259250000, 4.0
1260031250, 4.0
1260812500, 4.0
1261593750, 4.0
1262375000, 4.0
1263156250, 4.0
1263937500, 4.0
1264718750, 4.1
1265500000, 4.1
1266281250, 4.1
1267062500, 4.0
1267843750, 4.0
1268625000, 4.0
1269406250, 4.1
1270187500, 4.0
1270968750, 4.1
1271750000, 4.1
1272531250, 4.1
1273312500, 4.1
1274093750, 4.1
1274875000, 4.2
1275656250, 4.2
1276437500, 4.2
1277218750, 4.2
1278000000, 4.2
1278781250, 4.2
1279562500, 4.2
1280343750, 4.2
1281125000, 4.2
1281906250, 4.2
1282687500, 4.2
1283468750, 4.2
1284250000, 4.2
1285031250, 4.2
1285812500, 4.3
1286593750, 4.3
1287375000, 4.3
1288156250, 4.3
1288937500, 4.3
1289718750, 4.3
1290500000, 4.4
1291281250, 4.4
1292062500, 4.4
1292843750, 4.4
1293625000, 4.4
1294406250, 4.4
1295187500, 4.4
1295968750, 4.4
1296750000, 4.4
1297531250, 4.4
1298312500, 4.4
1299093750, 4.4
1299875000, 4.4
1300656250, 4.4
1301437500, 4.4
1302218750, 4.4
1303000000, 4.4
1303781250, 4.4
1304562500, 4.4
1305343750, 4.4
1306125000, 4.4
1306906250, 4.4
1307687500, 4.4
1308468750, 4.4
1309250000, 4.4
1310031250, 4.4
1310812500, 4.4
1311593750, 4.5
1312375000, 4.5
1313156250, 4.5
1313937500, 4.5
1314718750, 4.5
1315500000, 4.5
1316281250, 4.5
1317062500, 4.5
1317843750, 4.6
1318625000, 4.6
1319406250, 4.6
1320187500, 4.5
1320968750, 4.5
1321750000, 4.5
1322531250, 4.6
1323312500, 4.5
1324093750, 4.5
1324875000, 4.5
1325656250, 4.5
1326437500, 4.5
1327218750, 4.5
1328000000, 4.5
1328781250, 4.5
1329562500, 4.5
1330343750, 4.5
1331125000, 4.5
1331906250, 4.4
1332687500, 4.4
1333468750, 4.4
1334250000, 4.5
1335031250, 4.5
1335812500, 4.4
1336593750, 4.4
1337375000, 4.4
1338156250, 4.4
1338937500, 4.4
1339718750, 4.5
1340500000, 4.5
1341281250, 4.5
1342062500, 4.5
1342843750, 4.5
1343625000, 4.5
1344406250, 4.5
1345187500, 4.5
1345968750, 4.5
1346750000, 4.5
1347531250, 4.5
1348312500, 4.5
1349093750, 4.5
1349875000, 4.5
1350656250, 4.5
1351437500, 4.5
1352218750, 4.6
1353000000, 4.6
1353781250, 4.5
1354562500, 4.5
1355343750, 4.5
1356125000, 4.5
1356906250, 4.5
1357687500, 4.5
1358468750, 4.5
1359250000, 4.5
1360031250, 4.5
1360812500, 4.5
1361593750, 4.5
1362375000, 4.5
1363156250, 4.6
1363937500, 4.6
1364718750, 4.6
1365500000, 4.6
1366281250, 4.6
1367062500, 4.6
1367843750, 4.6
1368625000, 4.6
1369406250, 4.6
1370187500, 4.6
1370968750, 4.6
1371750000, 4.6
1372531250, 4.6
1373312500, 4.6
1374093750, 4.6
1374875000, 4.6
1375656250, 4.6
1376437500, 4.6
1377218750, 4.6
1378000000, 4.6
1378781250, 4.6
1379562500, 4.6
1380343750, 4.6
1381125000, 4.6
1381906250, 4.6
1382687500, 4.6
1383468750, 4.6
1384250000, 4.6
1385031250, 4.6
1385812500, 4.6
1386593750, 4.6
1387375000, 4.6
1388156250, 4.6
1388937500, 4.6
1389718750, 4.6
1390500000, 4.6
1391281250, 4.6
1392062500, 4.6
1392843750, 4.6
1393625000, 4.6
1394406250, 4.6
1395187500, 4.6
1395968750, 4.6
1396750000, 4.7
1397531250, 4.6
1398312500, 4.6
1399093750, 4.6
1399875000, 4.7
1400656250, 4.7
1401437500, 4.7
1402218750, 4.7
1403000000, 4.7
1403781250, 4.7
1404562500, 4.6
1405343750, 4.7
1406125000, 4.7
1406906250, 4.6
1407687500, 4.6
1408468750, 4.6
1409250000, 4.6
1410031250, 4.6
1410812500, 4.6
1411593750, 4.6
1412375000, 4.6
1413156250, 4.7
1413937500, 4.7
1414718750, 4.7
1415500000, 4.7
1416281250, 4.7
1417062500, 4.7
1417843750, 4.7
1418625000, 4.7
1419406250, 4.7
1420187500, 4.7
1420968750, 4.7
1421750000, 4.7
1422531250, 4.7
1423312500, 4.7
1424093750, 4.7
1424875000, 4.7
1425656250, 4.7
1426437500, 4.7
1427218750, 4.7
1428000000, 4.7
1428781250, 4.7
1429562500, 4.7
1430343750, 4.7
1431125000, 4.7
1431906250, 4.7
1432687500, 4.7
1433468750, 4.7
1434250000, 4.7
1435031250, 4.7
1435812500, 4.7
1436593750, 4.7
1437375000, 4.7
1438156250, 4.7
1438937500, 4.7
1439718750, 4.7
1440500000, 4.7
1441281250, 4.7
1442062500, 4.7
1442843750, 4.7
1443625000, 4.7
1444406250, 4.7
1445187500, 4.7
1445968750, 4.7
1446750000, 4.7
1447531250, 4.7
1448312500, 4.7
1449093750, 4.7
1449875000, 4.7
1450656250, 4.7
1451437500, 4.7
1452218750, 4.7
1453000000, 4.7
1453781250, 4.7
1454562500, 4.7
1455343750, 4.7
1456125000, 4.7
1456906250, 4.7
1457687500, 4.8
1458468750, 4.7
1459250000, 4.7
1460031250, 4.7
1460812500, 4.8
