#T_nd for A4H (pin)
#freq [Hz], T_nd [K]
1190500000, 75.2
1191281250, 71.5
1192062500, 68.9
1192843750, 66.7
1193625000, 65.7
1194406250, 64.4
1195187500, 63.2
1195968750, 62.1
1196750000, 61.2
1197531250, 60.6
1198312500, 60.2
1199093750, 60.2
1199875000, 59.7
1200656250, 59.5
1201437500, 59.4
1202218750, 59.4
1203000000, 59.4
1203781250, 59.4
1204562500, 59.4
1205343750, 59.4
1206125000, 59.4
1206906250, 59.4
1207687500, 59.4
1208468750, 59.4
1209250000, 59.4
1210031250, 59.4
1210812500, 59.4
1211593750, 59.4
1212375000, 59.4
1213156250, 59.2
1213937500, 59.0
1214718750, 58.7
1215500000, 58.7
1216281250, 58.4
1217062500, 58.4
1217843750, 58.2
1218625000, 58.1
1219406250, 58.1
1220187500, 58.1
1220968750, 58.1
1221750000, 58.1
1222531250, 58.1
1223312500, 58.1
1224093750, 58.1
1224875000, 58.1
1225656250, 58.1
1226437500, 58.1
1227218750, 58.1
1228000000, 58.2
1228781250, 58.3
1229562500, 58.9
1230343750, 59.1
1231125000, 59.6
1231906250, 59.6
1232687500, 59.6
1233468750, 59.6
1234250000, 60.0
1235031250, 60.0
1235812500, 60.1
1236593750, 60.1
1237375000, 60.1
1238156250, 60.1
1238937500, 60.6
1239718750, 61.9
1240500000, 61.9
1241281250, 61.9
1242062500, 61.9
1242843750, 61.9
1243625000, 61.9
1244406250, 61.9
1245187500, 61.9
1245968750, 61.7
1246750000, 61.6
1247531250, 61.6
1248312500, 61.5
1249093750, 61.5
1249875000, 61.5
1250656250, 61.5
1251437500, 61.5
1252218750, 61.6
1253000000, 61.6
1253781250, 61.7
1254562500, 61.8
1255343750, 61.8
1256125000, 62.2
1256906250, 62.7
1257687500, 63.0
1258468750, 63.2
1259250000, 64.1
1260031250, 64.1
1260812500, 64.7
1261593750, 65.0
1262375000, 65.6
1263156250, 66.2
1263937500, 66.8
1264718750, 66.8
1265500000, 67.0
1266281250, 67.2
1267062500, 67.3
1267843750, 67.3
1268625000, 67.3
1269406250, 67.3
1270187500, 67.3
1270968750, 67.3
1271750000, 67.3
1272531250, 67.1
1273312500, 66.9
1274093750, 66.8
1274875000, 66.7
1275656250, 66.6
1276437500, 66.3
1277218750, 66.2
1278000000, 66.2
1278781250, 66.2
1279562500, 66.2
1280343750, 66.2
1281125000, 66.2
1281906250, 66.2
1282687500, 66.6
1283468750, 66.9
1284250000, 67.2
1285031250, 67.5
1285812500, 68.2
1286593750, 68.4
1287375000, 69.2
1288156250, 69.4
1288937500, 70.1
1289718750, 70.7
1290500000, 71.2
1291281250, 71.6
1292062500, 72.3
1292843750, 72.4
1293625000, 72.4
1294406250, 72.4
1295187500, 72.4
1295968750, 72.4
1296750000, 72.4
1297531250, 72.4
1298312500, 72.3
1299093750, 71.9
1299875000, 70.4
1300656250, 69.4
