# old
3C48 | J0137+3309, radec J2000, 1:37:41.10, 33:09:32.0, (1408.0 23780.0 2.465 -0.004 -0.1251)
3C84 | J0319+4130 | Perseus A | PerA | NGC1275, radec J2000, 3:19:48.16, 41:30:42.1, (400.0 2000.0 1.398)
Fornax A | J0322-3712 | ForA | CTA23 | NGC1316, radec J2000, 3:22:41.52, -37:12:33.5, (1200.0 2000.0 2.097)
J0408-6545, radec J2000, 4:08:20.38, -65:45:09.6, (1410.0 8400.0 -3.708 3.807 -0.7202)
3C123 | J0437+2940, radec J2000, 4:37:04.38, 29:40:13.8, (1408.0 23780.0 2.525 0.246 -0.1638)
Pictoris A | J0519-4546 | Pictor A | PicA, radec J2000, 5:19:49.69, -45:46:44.5, (635.0 5009.0 -1.265 3.036 -0.653)
J0522-3627, radec J2000, 5:22:57.99, -36:27:30.9, (1410.0 8400.0 -0.4766 1.383 -0.2689)
Taurus A | J0534+2200 | TauA | Crab | 3C144, radec J2000, 5:34:32.00, 22:00:52.0, (1400.0 10000.0 3.915 -0.299)
Orion A | J0535-0523 | OriA | M42, radec J2000, 5:35:17.30, -5:23:28.0, (1000.0 10000.0 -0.4299 1.641 -0.2195)
3C147 | J0542+4951, radec J2000, 5:42:36.14, 49:51:07.2, (1408.0 23780.0 2.806 -0.14 -0.1031)
3C161 | J0627-0553, radec J2000, 6:27:10.10, -5:53:04.8, (1408.0 10550.0 1.25 0.726 -0.2286)
Vela X | J0834-4547 | CTB26, radec J2000, 8:34:30.00, -45:47:00.0, (400.0 2000.0 2.377)
Hydra A | J0918-1205 | HydA | 3C218, radec J2000, 9:18:05.80, -12:05:44.0, (1408.0 10550.0 4.729 -1.025 0.013)
3C273 | J1229+0203, radec J2000, 12:29:06.70, 2:03:08.6, (1410.0 8400.0 10.05 -4.906 0.7099)
Virgo A | J1230+1223 | VirA | 3C274, radec J2000, 12:30:49.42, 12:23:28.0, (1408.0 10550.0 4.484 -0.603 -0.028)
3C279 | J1256-0547, radec J2000, 12:56:11.17, -5:47:21.5, (1410.0 8400.0 -2.633 2.118 -0.3003)
Centaurus A | J1325-4301 | CenA | NGC5128, radec J2000, 13:25:27.60, -43:01:09.0, (400.0 2000.0 5.08 -0.87)
3C286 | J1331+3030, radec J2000, 13:31:08.30, 30:30:32.9, (1408.0 43200.0 0.956 0.584 -0.1644)
3C295 | J1411+5212, radec J2000, 14:11:20.65, 52:12:09.1, (1408.0 32000.0 1.49 0.756 -0.2545)
Hercules A | J1651+0459 | HercA | 3C348, radec J2000, 16:51:09.00, 4:59:34.0, (1408.0 10550.0 3.852 -0.361 -0.1053)
3C353 | J1720-0058, radec J2000, 17:20:28.16, -0:58:46.6, (1408.0 10550.0 3.148 -0.157 -0.0911)
Sagittarius A | J1746-2851 | SagA | CTB42, radec J2000, 17:46:06.00, -28:51:00.0, (1000.0 10000.0 4.32 -0.55)
J1819-6345 | B1814-637, radec J2000, 18:19:34.99, -63:45:48.1, (1410.0 8400.0 -4.754 4.076 -0.7065)
Cygnus A | J1959+4044 | CygA | 3C405, radec J2000, 19:59:28.36, 40:44:02.1, (20.0 2000.0 4.695 0.085 -0.178)
Cygnus X | J2039+4219 | DR21, radec J2000, 20:39:01.10, 42:19:43.0, (1000.0 10000.0 -18.65 10.69 -1.424)
J2253+1608, radec J2000, 22:53:57.75, 16:08:53.6, (1410.0 8400.0 -8.803 5.554 -0.7714)
Cassiopeia A | J2323+5848 | CasA | CTB110, radec J2000, 23:23:24.00, 58:48:54.0, (1000.0 10000.0 5.887 -0.8 0.001842)
# pkscat90
04-71 | J0408-7507 | 1Jy 0409-75, radec J2000, 4:08:48.38, -75:07:20.4, (200.0 12000.0 1.362 0.7345 -0.254)
3C147.1 | J0541-0154, radec J2000, 5:41:42.60, -1:54:16.0, (100.0 6000.0 -3.564 3.208 -0.4861)
MC74 | J0538-6904, radec J2000, 5:38:43.50, -69:04:57.0, (200.0 12000.0 -3.94 3.799 -0.6469)
OI-2483 | J0752-2625, radec J2000, 7:52:22.30, -26:25:37.0, (200.0 12000.0 -2.956 3.169 -0.5998)
Puppis A | PupA | J0824-4259, radec J2000, 8:24:07.40, -42:59:46.0, (200.0 2000.0 7.345 -1.934)
CTB32 | J0859-4345, radec J2000, 8:59:28.30, -43:45:44.0, (750.0 12000.0 8.041 -1.73)
CTB31 | J0859-4731, radec J2000, 8:59:07.30, -47:31:23.0, (750.0 12000.0 5.569 -0.9902)
RCW42 | J0924-5159, radec J2000, 9:24:25.60, -51:59:37.0, (750.0 6000.0 2.138 -0.2099)
12-51 | J1211-5309, radec J2000, 12:11:56.00, -53:09:37.0, (20.0 12000.0 -12.77 12.69 -2.528)
3C270 | J1219+0549 | 1Jy 1216+06, radec J2000, 12:19:23.30, 5:49:30.0, (20.0 6000.0 1.888 0.369 -0.1855)
J1346-6022, radec J2000, 13:46:57.60, -60:22:58.0, (750.0 12000.0 -30.45 20.01 -3.099)
16-61 | J1615-6055, radec J2000, 16:15:01.50, -60:55:18.0, (750.0 12000.0 0.08319 2.14 -0.5243)
CTB33 | J1634-4735, radec J2000, 16:34:36.40, -47:35:56.0, (750.0 12000.0 12.52 -4.777 0.4517)
J1639-4651, radec J2000, 16:39:48.60, -46:51:01.0, (750.0 6000.0 9.804 -2.566)
3C358 | J1730-2129, radec J2000, 17:30:40.50, -21:29:14.0, (20.0 12000.0 2.398 0.02931 -0.1276)
J1740-3057, radec J2000, 17:40:18.50, -30:57:49.0, (20.0 12000.0 -0.1744 2.032 -0.4703)
J1823-1228, radec J2000, 18:23:55.70, -12:28:37.0, (750.0 12000.0 -18.15 12.44 -2.005)
W43 | J1847-0202, radec J2000, 18:47:18.10, -2:02:40.0, (750.0 12000.0 17.79 -4.736)
3C391 | J1849-0055, radec J2000, 18:49:22.40, -0:55:21.0, (20.0 12000.0 0.1986 1.348 -0.3217)
3C396 | J1904+0526, radec J2000, 19:04:03.90, 5:26:56.0, (20.0 6000.0 0.4686 1.069 -0.2732)
J1939-6342 | 1Jy 1934-63, radec J2000, 19:39:25.01, -63:42:45.7, (200.0 12000.0 -11.11 7.777 -1.231)
3C409 | J2014+2334, radec J2000, 20:14:27.70, 23:34:52.0, (20.0 6000.0 2.538 0.1782 -0.1994)
3C433 | J2123+2504 | 1Jy 2121+24, radec J2000, 21:23:44.80, 25:04:07.0, (20.0 6000.0 2.29 0.1239 -0.1597)
21-64 | J2157-6941 | 1Jy 2153-69, radec J2000, 21:57:05.80, -69:41:22.0, (200.0 12000.0 2.923 -0.1222 -0.1043)
23-64 | J2358-6054 | 1Jy 2356-61, radec J2000, 23:58:59.20, -60:54:57.0, (200.0 12000.0 -3.752 4.341 -0.8574)
# 1Jy
3C196 | 1Jy 0809+48, radec J2000, 8:13:36.07, 48:13:02.2, (26.0 22000.0 4.73 -1.09 0 0 -3.59 -1)
3C380 | 1Jy 1828+48, radec J2000, 18:29:31.81, 48:44:46.5, (26.0 31400.0 3.165 -0.6294)
